"ID","Rep","Time","Code","Seed_Rate","Area","Density","Spp","Genus","Species","Lifeform","Seeded","Rate","Seeds"
"11_10",3,2,"ELTR","high",1,0,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_10",3,2,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_10",3,2,"POSE","high",1,0,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_10",3,2,"VUMY","high",1,1,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_10",4,2,"ELEL","low",1,0,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_10",4,2,"ELTR","low",1,11,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_10",4,2,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_10",4,2,"POSE","low",1,0,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_10",4,2,"VUMY","low",1,0,"V_mic","Vulpia","microstachys","Agrass",49,1,49
"11_10",5,2,"ELEL","low",1,5,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_10",5,2,"ELTR","low",1,9,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_10",5,2,"POFE","low",1,2,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_10",5,2,"POSE","low",1,6,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_10",5,2,"VUMY","low",1,0,"V_mic","Vulpia","microstachys","Agrass",49,1,49
"11_10",6,2,"ELEL","low",1,2,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_10",6,2,"ELTR","low",1,7,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_10",6,2,"POFE","low",1,1,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_10",6,2,"POSE","low",1,4,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_10",6,2,"VUMY","low",1,0,"V_mic","Vulpia","microstachys","Agrass",49,1,49
"11_10",7,2,"ELEL","high",1,4,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_10",7,2,"ELTR","high",1,49,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_10",7,2,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_10",7,2,"POSE","high",1,4,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_10",7,2,"VUMY","high",1,3,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_10",8,2,"ELEL","high",1,6,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_10",8,2,"ELTR","high",1,2,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_10",8,2,"POFE","high",1,4,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_10",8,2,"POSE","high",1,1,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_10",8,2,"VUMY","high",1,3,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_10",9,2,"ELEL","high",1,0,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_10",9,2,"ELTR","high",1,25,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_10",9,2,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_10",9,2,"POSE","high",1,17,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_10",9,2,"VUMY","high",1,3,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_10",10,2,"ELEL","low",1,1,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_10",10,2,"ELTR","low",1,6,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_10",10,2,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_10",10,2,"POSE","low",1,4,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_10",10,2,"VUMY","low",1,1,"V_mic","Vulpia","microstachys","Agrass",49,1,49
"11_10",11,2,"ELEL","low",1,2,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_10",11,2,"ELTR","low",1,3,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_10",11,2,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_10",11,2,"POSE","low",1,1,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_10",11,2,"VUMY","low",1,0,"V_mic","Vulpia","microstachys","Agrass",49,1,49
"11_10",12,2,"ELEL","low",1,1,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_10",12,2,"ELTR","low",1,11,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_10",12,2,"POFE","low",1,4,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_10",12,2,"POSE","low",1,15,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_10",12,2,"VUMY","low",1,5,"V_mic","Vulpia","microstachys","Agrass",49,1,49
"11_11",1,1,"ELEL","high",1,2,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",1,1,"ELTR","high",1,2,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",1,1,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",1,1,"POSE","high",1,1,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",1,1,"VUMI","high",1,0,NA,NA,NA,NA,NA,2,NA
"11_11",1,2,"ELEL","high",1,6,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",1,2,"ELTR","high",1,32,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",1,2,"POFE","high",1,2,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",1,2,"POSE","high",1,1,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",1,2,"VUMY","high",1,2,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_11",2,1,"ELEL","high",1,3,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",2,1,"ELTR","high",1,25,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",2,1,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",2,1,"POSE","high",1,2,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",2,1,"VUMI","high",1,24,NA,NA,NA,NA,NA,2,NA
"11_11",3,1,"ELEL","high",1,7,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",3,1,"ELTR","high",1,32,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",3,1,"POFE","high",1,2,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",3,1,"POSE","high",1,0,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",3,1,"VUMI","high",1,0,NA,NA,NA,NA,NA,2,NA
"11_11",4,1,"ELEL","high",1,6,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",4,1,"ELTR","high",1,27,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",4,1,"POFE","high",1,5,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",4,1,"POSE","high",1,0,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",4,1,"VUMI","high",1,4,NA,NA,NA,NA,NA,2,NA
"11_11",5,1,"ELEL","high",1,14,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",5,1,"ELTR","high",1,16,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",5,1,"POFE","high",1,1,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",5,1,"POSE","high",1,6,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",5,1,"VUMI","high",1,5,NA,NA,NA,NA,NA,2,NA
"11_11",6,1,"ELEL","high",1,15,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",6,1,"ELTR","high",1,17,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",6,1,"POFE","high",1,1,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",6,1,"POSE","high",1,2,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",6,1,"VUMI","high",1,8,NA,NA,NA,NA,NA,2,NA
"11_11",7,1,"ELEL","high",1,29,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",7,1,"ELTR","high",1,30,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",7,1,"POFE","high",1,4,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",7,1,"POSE","high",1,7,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",7,1,"VUMI","high",1,2,NA,NA,NA,NA,NA,2,NA
"11_11",7,2,"ELEL","high",1,0,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",7,2,"ELTR","high",1,10,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",7,2,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",7,2,"POSE","high",1,4,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",7,2,"VUMY","high",1,1,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_11",8,1,"ELEL","high",1,9,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",8,1,"ELTR","high",1,11,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",8,1,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",8,1,"POSE","high",1,2,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",8,1,"VUMI","high",1,0,NA,NA,NA,NA,NA,2,NA
"11_11",8,2,"ELEL","high",1,1,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",8,2,"ELTR","high",1,19,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",8,2,"POFE","high",1,9,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",8,2,"POSE","high",1,7,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",8,2,"VUMY","high",1,7,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_11",9,1,"ELEL","high",1,8,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_11",9,1,"ELTR","high",1,10,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_11",9,1,"POFE","high",1,1,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_11",9,1,"POSE","high",1,3,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_11",9,1,"VUMI","high",1,2,NA,NA,NA,NA,NA,2,NA
"11_11",10,1,"ELEL","low",1,0,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",10,1,"ELTR","low",1,1,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",10,1,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",10,1,"POSE","low",1,0,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",10,1,"VUMI","low",1,0,NA,NA,NA,NA,NA,1,NA
"11_11",10,2,"ELEL","low",1,5,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",10,2,"ELTR","low",1,16,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",10,2,"POFE","low",1,2,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",10,2,"POSE","low",1,2,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",10,2,"VUMY","low",1,9,"V_mic","Vulpia","microstachys","Agrass",49,1,49
"11_11",11,1,"ELEL","low",1,2,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",11,1,"ELTR","low",1,10,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",11,1,"POFE","low",1,1,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",11,1,"POSE","low",1,9,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",11,1,"VUMI","low",1,1,NA,NA,NA,NA,NA,1,NA
"11_11",12,1,"ELEL","low",1,3,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",12,1,"ELTR","low",1,9,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",12,1,"POFE","low",1,1,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",12,1,"POSE","low",1,2,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",12,1,"VUMI","low",1,3,NA,NA,NA,NA,NA,1,NA
"11_11",13,1,"ELEL","low",1,3,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",13,1,"ELTR","low",1,2,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",13,1,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",13,1,"POSE","low",1,0,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",13,1,"VUMI","low",1,0,NA,NA,NA,NA,NA,1,NA
"11_11",14,1,"ELEL","low",1,1,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",14,1,"ELTR","low",1,9,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",14,1,"POFE","low",1,2,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",14,1,"POSE","low",1,1,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",14,1,"VUMI","low",1,0,NA,NA,NA,NA,NA,1,NA
"11_11",15,1,"ELEL","low",1,4,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",15,1,"ELTR","low",1,19,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",15,1,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",15,1,"POSE","low",1,0,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",15,1,"VUMI","low",1,0,NA,NA,NA,NA,NA,1,NA
"11_11",16,1,"ELEL","low",1,5,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",16,1,"ELTR","low",1,21,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",16,1,"POFE","low",1,5,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",16,1,"POSE","low",1,2,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",16,1,"VUMI","low",1,0,NA,NA,NA,NA,NA,1,NA
"11_11",16,2,"ELEL","low",1,7,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",16,2,"ELTR","low",1,19,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",16,2,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",16,2,"POSE","low",1,1,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",16,2,"VUMY","low",1,0,"V_mic","Vulpia","microstachys","Agrass",49,1,49
"11_11",17,1,"ELEL","low",1,0,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",17,1,"ELTR","low",1,11,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",17,1,"POFE","low",1,3,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",17,1,"POSE","low",1,4,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",17,1,"VUMI","low",1,1,NA,NA,NA,NA,NA,1,NA
"11_11",17,2,"ELEL","low",1,4,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",17,2,"ELTR","low",1,14,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",17,2,"POFE","low",1,9,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",17,2,"POSE","low",1,6,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",17,2,"VUMY","low",1,0,"V_mic","Vulpia","microstachys","Agrass",49,1,49
"11_11",18,1,"ELEL","low",1,14,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_11",18,1,"ELTR","low",1,7,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_11",18,1,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_11",18,1,"POSE","low",1,0,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_11",18,1,"VUMI","low",1,6,NA,NA,NA,NA,NA,1,NA
"11_12",1,1,"ELEL","high",1,1,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",1,1,"ELTR","high",1,6,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",1,1,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",1,1,"POSE","high",1,0,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",1,1,"VUMI","high",1,1,NA,NA,NA,NA,NA,2,NA
"11_12",1,2,"ELEL","high",1,6,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",1,2,"ELTR","high",1,23,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",1,2,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",1,2,"POSE","high",1,2,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",1,2,"VUMY","high",1,8,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_12",2,1,"ELEL","high",1,14,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",2,1,"ELTR","high",1,36,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",2,1,"POFE","high",1,1,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",2,1,"POSE","high",1,8,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",2,1,"VUMI","high",1,7,NA,NA,NA,NA,NA,2,NA
"11_12",3,1,"ELEL","high",1,4,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",3,1,"ELTR","high",1,16,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",3,1,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",3,1,"POSE","high",1,0,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",3,1,"VUMI","high",1,6,NA,NA,NA,NA,NA,2,NA
"11_12",4,1,"ELEL","high",1,14,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",4,1,"ELTR","high",1,5,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",4,1,"POFE","high",1,1,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",4,1,"POSE","high",1,0,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",4,1,"VUMI","high",1,4,NA,NA,NA,NA,NA,2,NA
"11_12",5,1,"ELEL","high",1,6,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",5,1,"ELTR","high",1,13,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",5,1,"POFE","high",1,4,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",5,1,"POSE","high",1,14,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",5,1,"VUMI","high",1,1,NA,NA,NA,NA,NA,2,NA
"11_12",6,1,"ELEL","high",1,5,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",6,1,"ELTR","high",1,24,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",6,1,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",6,1,"POSE","high",1,0,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",6,1,"VUMI","high",1,5,NA,NA,NA,NA,NA,2,NA
"11_12",7,1,"ELEL","high",1,19,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",7,1,"ELTR","high",1,48,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",7,1,"POFE","high",1,5,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",7,1,"POSE","high",1,3,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",7,1,"VUMI","high",1,16,NA,NA,NA,NA,NA,2,NA
"11_12",7,2,"ELEL","high",1,0,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",7,2,"ELTR","high",1,10,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",7,2,"POFE","high",1,1,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",7,2,"POSE","high",1,0,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",7,2,"VUMY","high",1,6,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_12",8,1,"ELEL","high",1,10,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",8,1,"ELTR","high",1,39,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",8,1,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",8,1,"POSE","high",1,16,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",8,1,"VUMI","high",1,24,NA,NA,NA,NA,NA,2,NA
"11_12",8,2,"ELEL","high",1,0,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",8,2,"ELTR","high",1,21,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",8,2,"POFE","high",1,9,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",8,2,"POSE","high",1,13,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",8,2,"VUMY","high",1,4,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_12",9,1,"ELEL","high",1,1,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_12",9,1,"ELTR","high",1,20,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_12",9,1,"POFE","high",1,1,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_12",9,1,"POSE","high",1,0,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_12",9,1,"VUMI","high",1,8,NA,NA,NA,NA,NA,2,NA
"11_12",10,1,"ELEL","low",1,0,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_12",10,1,"ELTR","low",1,15,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_12",10,1,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_12",10,1,"POSE","low",1,1,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_12",10,1,"VUMI","low",1,2,NA,NA,NA,NA,NA,1,NA
"11_12",10,2,"ELEL","low",1,0,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_12",10,2,"ELTR","low",1,19,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_12",10,2,"POFE","low",1,1,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_12",10,2,"POSE","low",1,1,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_12",10,2,"VUMY","low",1,7,"V_mic","Vulpia","microstachys","Agrass",49,1,49
"11_12",11,1,"ELEL","low",1,3,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_12",11,1,"ELTR","low",1,9,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_12",11,1,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_12",11,1,"POSE","low",1,0,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_12",11,1,"VUMI","low",1,1,NA,NA,NA,NA,NA,1,NA
"11_12",12,1,"ELEL","low",1,11,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_12",12,1,"ELTR","low",1,10,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_12",12,1,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_12",12,1,"POSE","low",1,2,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_12",12,1,"VUMI","low",1,0,NA,NA,NA,NA,NA,1,NA
"11_12",13,1,"ELEL","low",1,6,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_12",13,1,"ELTR","low",1,8,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_12",13,1,"POFE","low",1,0,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_12",13,1,"POSE","low",1,2,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_12",13,1,"VUMI","low",1,NA,NA,NA,NA,NA,NA,1,NA
"11_12",14,1,"ELEL","low",1,1,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_12",14,1,"ELTR","low",1,13,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_12",14,1,"POFE","low",1,1,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_12",14,1,"POSE","low",1,4,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_12",14,1,"VUMI","low",1,0,NA,NA,NA,NA,NA,1,NA
"11_12",15,1,"ELEL","low",1,0,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_12",15,1,"ELTR","low",1,4,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_12",15,1,"POFE","low",1,1,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_12",15,1,"POSE","low",1,1,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_12",15,1,"VUMI","low",1,0,NA,NA,NA,NA,NA,1,NA
"11_12",16,1,"ELEL","low",1,18,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_12",16,1,"ELTR","low",1,15,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
"11_12",16,1,"POFE","low",1,5,"P_fen","Poa","fendleriana","Pgrass",87,1,87
"11_12",16,1,"POSE","low",1,3,"P_sec","Poa","secunda","Pgrass",112,1,112
"11_12",16,1,"VUMI","low",1,2,NA,NA,NA,NA,NA,1,NA
"11_12",16,2,"ELEL","low",1,1,"E_ely","Elymus","elymoides","Pgrass",103,1,103
"11_12",16,2,"ELTR","low",1,9,"E_tra","Elymus","trachycaulus","Pgrass",121,1,121
