ID,Rep,Date,Site,Block,Grazed,Spatial_arrangement,Seed_Rate,Species,Coating,Seeded_Seedlings,,Fuelbreak_Trt,Fuelbreak_Trt2,Fuel_Break_Desc,Water
,,5/17/2016,one,one,Fall,mono,high,POFE,UC,7,,grass,grass-high,mono high water,water
,,5/17/2016,one,one,Fall,mono,high,POSE,UC,7,,grass,grass-high,mono high water,water
,,5/17/2016,one,one,Fall,mono,high,ELTR,UC,23,,grass,grass-high,mono high water,water
,,6/3/2016,seven,three,Fall,mono,high,ELTR,UC,0,,grass,grass-high,mono high,no water
,,6/3/2016,seven,three,Fall,mono,high,POFE,UC,0,,grass,grass-high,mono high,no water
,,6/3/2016,seven,three,Fall,mono,high,ELEL,UC,0,,grass,grass-high,mono high,no water
,,6/3/2016,seven,three,Fall,mono,high,POSE,UC,1,,grass,grass-high,mono high,no water
,,6/3/2016,seven,three,Fall,mono,high,VUMY,UC,15,,grass,grass-high,mono high,no water
,,6/3/2016,seven,three,Fall,mono,high,POFE,UC,0,,grass,grass-high,mono high water,water
,,6/3/2016,seven,three,Fall,mono,high,ELEL,UC,0,,grass,grass-high,mono high water,water
,,6/3/2016,seven,three,Fall,mono,high,POSE,UC,0,,grass,grass-high,mono high water,water
,,6/3/2016,seven,three,Fall,mono,high,VUMY,UC,2,,grass,grass-high,mono high water,water
,,6/3/2016,seven,three,Fall,mono,high,ELTR,UC,3,,grass,grass-high,mono high water,water
,,6/1/2016,five,two,Fall,na,high,na,na,0,,kochia,kochia,kochia 2x,no water
,,6/1/2016,five,two,Fall,na,high,na,na,0,,kochia,kochia,kochia 2x,no water
,,6/1/2016,five,two,Fall,na,high,na,na,0,,kochia,kochia,kochia 2x water,water
,,6/1/2016,five,two,Fall,na,high,na,na,0,,kochia,kochia,kochia 2x water,water
,,6/3/2016,seven,three,Fall,na,high,na,na,0,,kochia,kochia,kochia 2x,no water
,,6/3/2016,seven,three,Fall,na,high,na,na,0,,kochia,kochia,kochia 2x,no water
,,6/3/2016,seven,three,Fall,na,high,na,na,0,,kochia,kochia,kochia 2x water,water
,,6/3/2016,seven,three,Fall,na,high,na,na,1,,kochia,kochia,kochia 2x water,water
,,6/1/2016,five,two,Fall,mix,low,na,C,4,,grass,grass-low,mix low,no water
,,6/1/2016,five,two,Fall,mix,low,na,C,8,,grass,grass-low,mix low,no water
,,6/1/2016,five,two,Fall,mix,low,na,C,0,,grass,grass-low,mix low water,water
,,6/1/2016,five,two,Fall,mix,low,na,C,9,,grass,grass-low,mix low water,water
,,5/19/2016,one,one,Fall,mix,low,na,C,0,,grass,grass-low,mix low,no water
,,5/19/2016,one,one,Fall,mix,low,na,C,0,,grass,grass-low,mix low,no water
,,5/19/2016,one,one,Fall,mix,low,na,C,19,,grass,grass-low,mix low,no water
,,5/18/2016,one,one,Fall,mix,low,na,C,0,,grass,grass-low,mix low water,water
,,5/18/2016,one,one,Fall,mix,low,na,C,5,,grass,grass-low,mix low water,water
,,5/18/2016,one,one,Fall,mix,low,na,C,14,,grass,grass-low,mix low water,water
,,6/3/2016,seven,three,Fall,mix,low,na,C,0,,grass,grass-low,mix low,no water
,,6/3/2016,seven,three,Fall,mix,low,na,C,1,,grass,grass-low,mix low,no water
,,6/3/2016,seven,three,Fall,mix,low,na,C,,,grass,grass-low,mix low water,water
,,6/3/2016,seven,three,Fall,mix,low,na,C,0,,grass,grass-low,mix low water,water
,,6/1/2016,five,two,Fall,mix,low,na,UC,1,,grass,grass-low,mix low,no water
,,6/1/2016,five,two,Fall,mix,low,na,UC,2,,grass,grass-low,mix low,no water
,,6/1/2016,five,two,Fall,mix,low,na,UC,8,,grass,grass-low,mix low water,water
,,6/1/2016,five,two,Fall,mix,low,na,UC,12,,grass,grass-low,mix low water,water
,,5/19/2016,one,one,Fall,mix,low,na,UC,5,,grass,grass-low,mix low,no water
,,5/19/2016,one,one,Fall,mix,low,na,UC,6,,grass,grass-low,mix low,no water
,,5/19/2016,one,one,Fall,mix,low,na,UC,20,,grass,grass-low,mix low,no water
,,5/18/2016,one,one,Fall,mix,low,na,UC,0,,grass,grass-low,mix low water,water
,,5/18/2016,one,one,Fall,mix,low,na,UC,3,,grass,grass-low,mix low water,water
,,5/18/2016,one,one,Fall,mix,low,na,UC,8,,grass,grass-low,mix low water,water
,,6/3/2016,seven,three,Fall,mix,low,na,UC,0,,grass,grass-low,mix low,no water
,,6/3/2016,seven,three,Fall,mix,low,na,UC,3,,grass,grass-low,mix low,no water
,,6/3/2016,seven,three,Fall,mix,low,na,UC,1,,grass,grass-low,mix low water,water
,,6/3/2016,seven,three,Fall,mix,low,na,UC,3,,grass,grass-low,mix low water,water
,,6/1/2016,five,two,Fall,mono,low,VUMY,C,0,,grass,grass-low,mono low,no water
,,6/1/2016,five,two,Fall,mono,low,ELEL,C,1,,grass,grass-low,mono low,no water
,,6/1/2016,five,two,Fall,mono,low,POSE,C,12,,grass,grass-low,mono low,no water
,,6/1/2016,five,two,Fall,mono,low,ELTR,C,14,,grass,grass-low,mono low,no water
,,6/1/2016,five,two,Fall,mono,low,POFE,C,18,,grass,grass-low,mono low,no water
,,6/1/2016,five,two,Fall,mono,low,VUMY,C,0,,grass,grass-low,mono low water,water
,,6/1/2016,five,two,Fall,mono,low,ELEL,C,0,,grass,grass-low,mono low water,water
,,6/1/2016,five,two,Fall,mono,low,POFE,C,0,,grass,grass-low,mono low water,water
,,6/1/2016,five,two,Fall,mono,low,POSE,C,0,,grass,grass-low,mono low water,water
,,6/1/2016,five,two,Fall,mono,low,ELTR,C,11,,grass,grass-low,mono low water,water
,,5/18/2016,one,one,Fall,mono,low,VUMY,C,0,,grass,grass-low,mono low,no water
,,5/18/2016,one,one,Fall,mono,low,ELEL,C,0,,grass,grass-low,mono low,no water
,,5/18/2016,one,one,Fall,mono,low,POFE,C,0,,grass,grass-low,mono low,no water
,,5/18/2016,one,one,Fall,mono,low,POSE,C,2,,grass,grass-low,mono low,no water
,,5/18/2016,one,one,Fall,mono,low,ELTR,C,12,,grass,grass-low,mono low,no water
,,5/17/2016,one,one,Fall,mono,low,VUMY,C,0,,grass,grass-low,mono low water,water
,,5/17/2016,one,one,Fall,mono,low,POFE,C,2,,grass,grass-low,mono low water,water
,,5/17/2016,one,one,Fall,mono,low,ELEL,C,5,,grass,grass-low,mono low water,water
,,5/17/2016,one,one,Fall,mono,low,POSE,C,6,,grass,grass-low,mono low water,water
,,5/17/2016,one,one,Fall,mono,low,ELTR,C,9,,grass,grass-low,mono low water,water
,,6/3/2016,seven,three,Fall,mono,low,POFE,C,0,,grass,grass-low,mono low,no water
,,6/3/2016,seven,three,Fall,mono,low,ELTR,C,0,,grass,grass-low,mono low,no water
,,6/3/2016,seven,three,Fall,mono,low,VUMY,C,1,,grass,grass-low,mono low,no water
,,6/3/2016,seven,three,Fall,mono,low,POSE,C,2,,grass,grass-low,mono low,no water
,,6/3/2016,seven,three,Fall,mono,low,ELEL,C,10,,grass,grass-low,mono low,no water
,,6/3/2016,seven,three,Fall,mono,low,VUMY,C,0,,grass,grass-low,mono low water,water
,,6/3/2016,seven,three,Fall,mono,low,POFE,C,1,,grass,grass-low,mono low water,water
,,6/3/2016,seven,three,Fall,mono,low,ELEL,C,2,,grass,grass-low,mono low water,water
,,6/3/2016,seven,three,Fall,mono,low,POSE,C,4,,grass,grass-low,mono low water,water
,,6/3/2016,seven,three,Fall,mono,low,ELTR,C,7,,grass,grass-low,mono low water,water
,,6/1/2016,five,two,Fall,mono,low,POSE,UC,0,,grass,grass-low,mono low,no water
,,6/1/2016,five,two,Fall,mono,low,POFE,UC,0,,grass,grass-low,mono low,no water
,,6/1/2016,five,two,Fall,mono,low,VUMY,UC,0,,grass,grass-low,mono low,no water
,,6/1/2016,five,two,Fall,mono,low,ELTR,UC,4,,grass,grass-low,mono low,no water
,,6/1/2016,five,two,Fall,mono,low,ELEL,UC,14,,grass,grass-low,mono low,no water
,,6/1/2016,five,two,Fall,mono,low,ELTR,UC,0,,grass,grass-low,mono low water,water
,,6/1/2016,five,two,Fall,mono,low,POFE,UC,0,,grass,grass-low,mono low water,water
,,6/1/2016,five,two,Fall,mono,low,ELEL,UC,0,,grass,grass-low,mono low water,water
,,6/1/2016,five,two,Fall,mono,low,VUMY,UC,1,,grass,grass-low,mono low water,water
,,6/1/2016,five,two,Fall,mono,low,POSE,UC,1,,grass,grass-low,mono low water,water
,,5/18/2016,one,one,Fall,mono,low,POFE,UC,0,,grass,grass-low,mono low,no water
,,5/18/2016,one,one,Fall,mono,low,POSE,UC,0,,grass,grass-low,mono low,no water
,,5/18/2016,one,one,Fall,mono,low,ELEL,UC,1,,grass,grass-low,mono low,no water
,,5/18/2016,one,one,Fall,mono,low,ELTR,UC,3,,grass,grass-low,mono low,no water
,,5/18/2016,one,one,Fall,mono,low,VUMY,UC,6,,grass,grass-low,mono low,no water
,,5/17/2016,one,one,Fall,mono,low,POFE,UC,0,,grass,grass-low,mono low water,water
,,5/17/2016,one,one,Fall,mono,low,POSE,UC,0,,grass,grass-low,mono low water,water
,,5/17/2016,one,one,Fall,mono,low,ELEL,UC,0,,grass,grass-low,mono low water,water
,,5/17/2016,one,one,Fall,mono,low,ELTR,UC,1,,grass,grass-low,mono low water,water
,,5/17/2016,one,one,Fall,mono,low,VUMY,UC,2,,grass,grass-low,mono low water,water
,,6/3/2016,seven,three,Fall,mono,low,POFE,UC,0,,grass,grass-low,mono low,no water
,,6/3/2016,seven,three,Fall,mono,low,POSE,UC,1,,grass,grass-low,mono low,no water
,,6/3/2016,seven,three,Fall,mono,low,ELEL,UC,1,,grass,grass-low,mono low,no water
,,6/3/2016,seven,three,Fall,mono,low,VUMY,UC,3,,grass,grass-low,mono low,no water
,,6/3/2016,seven,three,Fall,mono,low,ELTR,UC,5,,grass,grass-low,mono low,no water
,,6/3/2016,seven,three,Fall,mono,low,VUMY,UC,1,,grass,grass-low,mono low water,water
,,6/3/2016,seven,three,Fall,mono,low,ELTR,UC,1,,grass,grass-low,mono low water,water
,,6/3/2016,seven,three,Fall,mono,low,POFE,UC,1,,grass,grass-low,mono low water,water
,,6/3/2016,seven,three,Fall,mono,low,POSE,UC,2,,grass,grass-low,mono low water,water
,,6/3/2016,seven,three,Fall,mono,low,ELEL,UC,2,,grass,grass-low,mono low water,water
,,6/2/2016,four,two,Spring,mix,high,na,C,5,,grass,grass-high,mix high,no water
,,6/2/2016,four,two,Spring,mix,high,na,C,11,,grass,grass-high,mix high,no water
,,6/2/2016,four,two,Spring,mix,high,na,C,11,,grass,grass-high,mix high water,water
,,6/2/2016,four,two,Spring,mix,high,na,C,16,,grass,grass-high,mix high water,water
,,6/4/2016,nine,three,Spring,mix,high,na,C,1,,grass,grass-high,mix high,no water
,,6/4/2016,nine,three,Spring,mix,high,na,C,6,,grass,grass-high,mix high,no water
,,6/4/2016,nine,three,Spring,mix,high,na,C,5,,grass,grass-high,mix high water,water
,,6/4/2016,nine,three,Spring,mix,high,na,C,28,,grass,grass-high,mix high water,water
,,5/21/2016,two,one,Spring,mix,high,na,C,3,,grass,grass-high,mix high,no water
,,5/21/2016,two,one,Spring,mix,high,na,C,10,,grass,grass-high,mix high,no water
,,5/21/2016,two,one,Spring,mix,high,na,C,13,,grass,grass-high,mix high,no water
,,5/19/2016,two,one,Spring,mix,high,na,C,2,,grass,grass-high,mix high water,water
,,5/19/2016,two,one,Spring,mix,high,na,C,2,,grass,grass-high,mix high water,water
,,5/19/2016,two,one,Spring,mix,high,na,C,11,,grass,grass-high,mix high water,water
,,6/2/2016,four,two,Spring,mix,high,na,UC,4,,grass,grass-high,mix high,no water
,,6/2/2016,four,two,Spring,mix,high,na,UC,24,,grass,grass-high,mix high,no water
,,6/2/2016,four,two,Spring,mix,high,na,UC,3,,grass,grass-high,mix high water,water
,,6/2/2016,four,two,Spring,mix,high,na,UC,6,,grass,grass-high,mix high water,water
,,6/4/2016,nine,three,Spring,mix,high,na,UC,0,,grass,grass-high,mix high,no water
,,6/4/2016,nine,three,Spring,mix,high,na,UC,8,,grass,grass-high,mix high,no water
,,6/4/2016,nine,three,Spring,mix,high,na,UC,1,,grass,grass-high,mix high water,water
,,6/4/2016,nine,three,Spring,mix,high,na,UC,7,,grass,grass-high,mix high water,water
,,5/21/2016,two,one,Spring,mix,high,na,UC,3,,grass,grass-high,mix high,no water
,,5/21/2016,two,one,Spring,mix,high,na,UC,8,,grass,grass-high,mix high,no water
,,5/21/2016,two,one,Spring,mix,high,na,UC,24,,grass,grass-high,mix high,no water
,,5/19/2016,two,one,Spring,mix,high,na,UC,0,,grass,grass-high,mix high water,water
,,5/19/2016,two,one,Spring,mix,high,na,UC,4,,grass,grass-high,mix high water,water
,,5/19/2016,two,one,Spring,mix,high,na,UC,16,,grass,grass-high,mix high water,water
,,6/2/2016,four,two,Spring,mono,high,POSE,C,0,,grass,grass-high,mono high,no water
,,6/2/2016,four,two,Spring,mono,high,POFE,C,0,,grass,grass-high,mono high,no water
,,6/2/2016,four,two,Spring,mono,high,ELEL,C,0,,grass,grass-high,mono high,no water
,,6/2/2016,four,two,Spring,mono,high,VUMY,C,1,,grass,grass-high,mono high,no water
,,6/2/2016,four,two,Spring,mono,high,ELTR,C,13,,grass,grass-high,mono high,no water
,,6/2/2016,four,two,Spring,mono,high,POFE,C,0,,grass,grass-high,mono high water,water
,,6/2/2016,four,two,Spring,mono,high,VUMY,C,3,,grass,grass-high,mono high water,water
,,6/2/2016,four,two,Spring,mono,high,ELEL,C,4,,grass,grass-high,mono high water,water
,,6/2/2016,four,two,Spring,mono,high,POSE,C,4,,grass,grass-high,mono high water,water
,,6/2/2016,four,two,Spring,mono,high,ELTR,C,49,,grass,grass-high,mono high water,water
,,6/4/2016,nine,three,Spring,mono,high,POFE,C,0,,grass,grass-high,mono high,no water
,,6/4/2016,nine,three,Spring,mono,high,VUMY,C,1,,grass,grass-high,mono high,no water
,,6/4/2016,nine,three,Spring,mono,high,ELEL,C,3,,grass,grass-high,mono high,no water
,,6/4/2016,nine,three,Spring,mono,high,POSE,C,4,,grass,grass-high,mono high,no water
,,6/4/2016,nine,three,Spring,mono,high,ELTR,C,18,,grass,grass-high,mono high,no water
,,6/4/2016,nine,three,Spring,mono,high,POSE,C,1,,grass,grass-high,mono high water,water
,,6/4/2016,nine,three,Spring,mono,high,ELTR,C,2,,grass,grass-high,mono high water,water
,,6/4/2016,nine,three,Spring,mono,high,VUMY,C,3,,grass,grass-high,mono high water,water
,,6/4/2016,nine,three,Spring,mono,high,POFE,C,4,,grass,grass-high,mono high water,water
,,6/4/2016,nine,three,Spring,mono,high,ELEL,C,6,,grass,grass-high,mono high water,water
,,5/20/2016,two,one,Spring,mono,high,VUMY,C,0,,grass,grass-high,mono high,no water
,,5/20/2016,two,one,Spring,mono,high,POFE,C,1,,grass,grass-high,mono high,no water
,,5/20/2016,two,one,Spring,mono,high,ELEL,C,2,,grass,grass-high,mono high,no water
,,5/20/2016,two,one,Spring,mono,high,POSE,C,21,,grass,grass-high,mono high,no water
,,5/20/2016,two,one,Spring,mono,high,ELTR,C,24,,grass,grass-high,mono high,no water
,,5/21/2016,two,one,Spring,mono,high,POFE,C,0,,grass,grass-high,mono high water,water
,,5/21/2016,two,one,Spring,mono,high,ELEL,C,0,,grass,grass-high,mono high water,water
,,5/21/2016,two,one,Spring,mono,high,VUMY,C,3,,grass,grass-high,mono high water,water
,,5/21/2016,two,one,Spring,mono,high,POSE,C,17,,grass,grass-high,mono high water,water
,,5/21/2016,two,one,Spring,mono,high,ELTR,C,25,,grass,grass-high,mono high water,water
,,6/2/2016,four,two,Spring,mono,high,ELEL,UC,0,,grass,grass-high,mono high,no water
,,6/2/2016,four,two,Spring,mono,high,VUMY,UC,1,,grass,grass-high,mono high,no water
,,6/2/2016,four,two,Spring,mono,high,POFE,UC,1,,grass,grass-high,mono high,no water
,,6/2/2016,four,two,Spring,mono,high,POSE,UC,2,,grass,grass-high,mono high,no water
,,6/2/2016,four,two,Spring,mono,high,ELTR,UC,4,,grass,grass-high,mono high,no water
,,6/2/2016,four,two,Spring,mono,high,VUMY,UC,0,,grass,grass-high,mono high water,water
,,6/2/2016,four,two,Spring,mono,high,POFE,UC,2,,grass,grass-high,mono high water,water
,,6/2/2016,four,two,Spring,mono,high,ELEL,UC,3,,grass,grass-high,mono high water,water
,,6/2/2016,four,two,Spring,mono,high,ELTR,UC,5,,grass,grass-high,mono high water,water
,,6/2/2016,four,two,Spring,mono,high,POSE,UC,6,,grass,grass-high,mono high water,water
,,6/4/2016,nine,three,Spring,mono,high,VUMY,UC,3,,grass,grass-high,mono high,no water
,,6/4/2016,nine,three,Spring,mono,high,ELEL,UC,3,,grass,grass-high,mono high,no water
,,6/4/2016,nine,three,Spring,mono,high,POSE,UC,7,,grass,grass-high,mono high,no water
,,6/4/2016,nine,three,Spring,mono,high,POFE,UC,8,,grass,grass-high,mono high,no water
,,6/4/2016,nine,three,Spring,mono,high,ELTR,UC,27,,grass,grass-high,mono high,no water
,,6/4/2016,nine,three,Spring,mono,high,VUMY,UC,0,,grass,grass-high,mono high water,water
,,6/4/2016,nine,three,Spring,mono,high,ELTR,UC,0,,grass,grass-high,mono high water,water
,,6/4/2016,nine,three,Spring,mono,high,ELEL,UC,0,,grass,grass-high,mono high water,water
,,6/4/2016,nine,three,Spring,mono,high,POSE,UC,3,,grass,grass-high,mono high water,water
,,6/4/2016,nine,three,Spring,mono,high,POFE,UC,4,,grass,grass-high,mono high water,water
,,5/20/2016,two,one,Spring,mono,high,POFE,UC,0,,grass,grass-high,mono high,no water
,,5/19/2016,two,one,Spring,mono,high,ELEL,UC,0,,grass,grass-high,mono high,no water
,,5/19/2016,two,one,Spring,mono,high,POSE,UC,1,,grass,grass-high,mono high,no water
,,5/19/2016,two,one,Spring,mono,high,VUMY,UC,1,,grass,grass-high,mono high,no water
,,5/19/2016,two,one,Spring,mono,high,ELTR,UC,11,,grass,grass-high,mono high,no water
,,5/21/2016,two,one,Spring,mono,high,ELEL,UC,0,,grass,grass-high,mono high water,water
,,5/21/2016,two,one,Spring,mono,high,POFE,UC,1,,grass,grass-high,mono high water,water
,,5/21/2016,two,one,Spring,mono,high,ELTR,UC,1,,grass,grass-high,mono high water,water
,,5/21/2016,two,one,Spring,mono,high,VUMY,UC,3,,grass,grass-high,mono high water,water
,,5/21/2016,two,one,Spring,mono,high,POSE,UC,5,,grass,grass-high,mono high water,water
,,6/4/2016,nine,three,Spring,na,high,na,na,0,,kochia,kochia,kochia 2x,no water
,,6/4/2016,nine,three,Spring,na,high,na,na,0,,kochia,kochia,kochia 2x,no water
,,6/4/2016,nine,three,Spring,na,high,na,na,0,,kochia,kochia,kochia 2x water,water
,,6/4/2016,nine,three,Spring,na,high,na,na,0,,kochia,kochia,kochia 2x water,water
,,6/2/2016,four,two,Spring,mix,low,na,C,2,,grass,grass-low,mix low,no water
,,6/2/2016,four,two,Spring,mix,low,na,C,3,,grass,grass-low,mix low,no water
,,6/2/2016,four,two,Spring,mix,low,na,C,3,,grass,grass-low,mix low water,water
,,6/2/2016,four,two,Spring,mix,low,na,C,0,,grass,grass-low,mix low water,water
,,6/4/2016,nine,three,Spring,mix,low,na,C,1,,grass,grass-low,mix low,no water
,,6/4/2016,nine,three,Spring,mix,low,na,C,1,,grass,grass-low,mix low,no water
,,6/4/2016,nine,three,Spring,mix,low,na,C,0,,grass,grass-low,mix low water,water
,,6/4/2016,nine,three,Spring,mix,low,na,C,2,,grass,grass-low,mix low water,water
,,5/21/2016,two,one,Spring,mix,low,na,C,3,,grass,grass-low,mix low,no water
,,5/21/2016,two,one,Spring,mix,low,na,C,3,,grass,grass-low,mix low,no water
,,5/21/2016,two,one,Spring,mix,low,na,C,5,,grass,grass-low,mix low,no water
,,5/20/2016,two,one,Spring,mix,low,na,C,3,,grass,grass-low,mix low water,water
,,5/20/2016,two,one,Spring,mix,low,na,C,3,,grass,grass-low,mix low water,water
,,5/20/2016,two,one,Spring,mix,low,na,C,4,,grass,grass-low,mix low water,water
,,6/2/2016,four,two,Spring,mix,low,na,UC,3,,grass,grass-low,mix low,no water
,,6/2/2016,four,two,Spring,mix,low,na,UC,5,,grass,grass-low,mix low,no water
,,6/2/2016,four,two,Spring,mix,low,na,UC,0,,grass,grass-low,mix low water,water
,,6/2/2016,four,two,Spring,mix,low,na,UC,3,,grass,grass-low,mix low water,water
,,6/4/2016,nine,three,Spring,mix,low,na,UC,2,,grass,grass-low,mix low,no water
,,6/4/2016,nine,three,Spring,mix,low,na,UC,2,,grass,grass-low,mix low,no water
,,6/4/2016,nine,three,Spring,mix,low,na,UC,2,,grass,grass-low,mix low water,water
,,6/4/2016,nine,three,Spring,mix,low,na,UC,4,,grass,grass-low,mix low water,water
,,5/21/2016,two,one,Spring,mix,low,na,UC,5,,grass,grass-low,mix low,no water
