ID,Rep,Seeded,Trt,Time,Date,Site,Block,Fuel_Break_Desc,Her_Grazed,Grazed,Spatial_arrangement,Seed_Rate,Water,Species,Coating,Distance_Along_Transect_m,Seeded_Seedlings,,,,,,
11_1,9,944,1,2,5/21/2016,two,one,mix high,Spring,Grazed,mix,high,no water,na,C,10,13,,,,,,
11_1,10,472,1,2,6/2/2016,four,two,mix low,Spring,Grazed,mix,low,no water,na,C,14,2,,,,,,
11_1,10,472,1,2,6/2/2016,four,two,mix low,Spring,Grazed,mix,low,no water,na,C,6,3,,,,,,
11_1,11,472,1,2,6/4/2016,nine,three,mix low,Spring,Grazed,mix,low,no water,na,C,6,1,,,,,,
11_1,11,472,1,2,6/4/2016,nine,three,mix low,Spring,Grazed,mix,low,no water,na,C,14,1,,,,,,
11_1,12,472,1,2,5/21/2016,two,one,mix low,Spring,Grazed,mix,low,no water,na,C,6,3,,,,,,
11_1,12,472,1,2,5/21/2016,two,one,mix low,Spring,Grazed,mix,low,no water,na,C,14,3,,,,,,
11_1,12,472,1,2,5/21/2016,two,one,mix low,Spring,Grazed,mix,low,no water,na,C,10,5,,,,,,
11_2,6,944,2,2,6/2/2016,four,two,mix high water,Spring,Grazed,mix,high,water,na,C,54,11,,,,,,
11_2,6,944,2,2,6/2/2016,four,two,mix high water,Spring,Grazed,mix,high,water,na,C,46,16,,,,,,
11_2,7,944,2,2,6/4/2016,nine,three,mix high water,Spring,Grazed,mix,high,water,na,C,6,5,,,,,,
11_2,7,944,2,2,6/4/2016,nine,three,mix high water,Spring,Grazed,mix,high,water,na,C,14,28,,,,,,
11_2,8,944,2,2,5/19/2016,two,one,mix high water,Spring,Grazed,mix,high,water,na,C,10,2,,,,,,
11_2,8,944,2,2,5/19/2016,two,one,mix high water,Spring,Grazed,mix,high,water,na,C,14,2,,,,,,
11_2,8,944,2,2,5/19/2016,two,one,mix high water,Spring,Grazed,mix,high,water,na,C,6,11,,,,,,
11_2,9,472,2,2,6/2/2016,four,two,mix low water,Spring,Grazed,mix,low,water,na,C,54,3,,,,,,
11_2,9,472,2,2,6/2/2016,four,two,mix low water,Spring,Grazed,mix,low,water,na,C,46,0,,,,,,
11_2,10,472,2,2,6/4/2016,nine,three,mix low water,Spring,Grazed,mix,low,water,na,C,6,0,,,,,,
11_2,10,472,2,2,6/4/2016,nine,three,mix low water,Spring,Grazed,mix,low,water,na,C,14,2,,,,,,
11_2,11,472,2,2,5/20/2016,two,one,mix low water,Spring,Grazed,mix,low,water,na,C,46,3,,,,,,
11_2,11,472,2,2,5/20/2016,two,one,mix low water,Spring,Grazed,mix,low,water,na,C,50,3,,,,,,
11_2,11,472,2,2,5/20/2016,two,one,mix low water,Spring,Grazed,mix,low,water,na,C,54,4,,,,,,
11_3,1,944,3,1,5/12/2015,eight,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,2,6,,,,,,
11_3,1,944,3,1,5/12/2015,eight,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,4,1,,,,,,
11_3,1,944,3,2,6/5/2016,eight,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,7,7,,,,,,
11_3,1,944,3,2,6/5/2016,eight,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,16,7,,,,,,
11_3,2,944,3,1,5/9/2015,five,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,12,4,,,,,,
11_3,2,944,3,1,5/9/2015,five,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,14,11,,,,,,
11_3,3,944,3,1,5/9/2015,four,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,12,0,,,,,,
11_3,3,944,3,1,5/9/2015,four,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,14,1,,,,,,
11_3,4,944,3,1,5/13/2015,nine,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,2,7,,,,,,
11_3,4,944,3,1,5/13/2015,nine,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,4,2,,,,,,
11_3,5,944,3,1,5/5/2015,one,one,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,12,6,,,,,,
11_3,5,944,3,1,5/5/2015,one,one,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,14,7,,,,,,
11_3,6,944,3,1,5/11/2015,seven,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,2,10,,,,,,
11_3,6,944,3,1,5/11/2015,seven,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,4,2,,,,,,
11_3,7,944,3,1,5/11/2015,six,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,2,0,,,,,,
11_3,7,944,3,1,5/11/2015,six,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,4,0,,,,,,
11_3,7,944,3,2,5/31/2016,six,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,14,1,,,,,,
11_3,7,944,3,2,5/31/2016,six,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,10,5,,,,,,
11_3,8,944,3,1,5/7/2015,three,one,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,12,6,,,,,,
11_3,8,944,3,1,5/7/2015,three,one,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,14,3,,,,,,
11_3,8,944,3,2,5/22/2016,three,one,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,46,6,,,,,,
11_3,8,944,3,2,5/22/2016,three,one,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,54,14,,,,,,
11_3,8,944,3,2,5/22/2016,three,one,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,50,29,,,,,,
11_3,9,944,3,1,5/7/2015,two,one,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,2,7,,,,,,
11_3,9,944,3,1,5/7/2015,two,one,mix high,Ungrazed,Ungrazed,mix,high,no water,na,C,4,2,,,,,,
11_3,10,472,3,1,5/12/2015,eight,three,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,2,7,,,,,,
11_3,10,472,3,1,5/12/2015,eight,three,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,4,0,,,,,,
11_3,10,472,3,2,6/5/2016,eight,three,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,14,3,,,,,,
11_3,10,472,3,2,6/5/2016,eight,three,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,6,4,,,,,,
11_3,11,472,3,1,5/10/2015,five,two,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,2,1,,,,,,
11_3,11,472,3,1,5/10/2015,five,two,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,4,7,,,,,,
11_3,12,472,3,1,5/9/2015,four,two,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,2,1,,,,,,
11_3,12,472,3,1,5/9/2015,four,two,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,4,4,,,,,,
11_3,13,472,3,1,5/13/2015,nine,three,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,2,0,,,,,,
11_3,13,472,3,1,5/13/2015,nine,three,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,4,6,,,,,,
11_3,14,472,3,1,5/6/2015,one,one,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,12,0,,,,,,
11_3,14,472,3,1,5/6/2015,one,one,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,14,0,,,,,,
11_3,15,472,3,1,5/11/2015,seven,three,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,2,9,,,,,,
11_3,15,472,3,1,5/11/2015,seven,three,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,4,3,,,,,,
11_3,16,472,3,1,5/11/2015,six,two,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,2,0,,,,,,
11_3,16,472,3,1,5/11/2015,six,two,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,4,0,,,,,,
11_3,16,472,3,2,5/31/2016,six,two,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,14,1,,,,,,
11_3,16,472,3,2,5/31/2016,six,two,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,10,4,,,,,,
11_3,17,472,3,1,5/8/2015,three,one,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,12,1,,,,,,
11_3,17,472,3,1,5/8/2015,three,one,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,14,0,,,,,,
11_3,17,472,3,2,5/22/2016,three,one,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,46,1,,,,,,
11_3,17,472,3,2,5/22/2016,three,one,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,50,2,,,,,,
11_3,17,472,3,2,5/22/2016,three,one,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,54,5,,,,,,
11_3,18,472,3,1,5/6/2015,two,one,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,2,4,,,,,,
11_3,18,472,3,1,5/6/2015,two,one,mix low,Ungrazed,Ungrazed,mix,low,no water,na,C,4,4,,,,,,
11_4,1,944,4,1,5/12/2015,eight,three,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,12,1,,,,,,
11_4,1,944,4,1,5/12/2015,eight,three,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,14,1,,,,,,
11_4,1,944,4,2,6/5/2016,eight,three,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,54,0,,,,,,
11_4,1,944,4,2,6/5/2016,eight,three,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,46,1,,,,,,
11_4,2,944,4,1,5/10/2015,five,two,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,2,9,,,,,,
11_4,2,944,4,1,5/10/2015,five,two,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,4,0,,,,,,
11_4,3,944,4,1,5/9/2015,four,two,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,12,3,,,,,,
11_4,3,944,4,1,5/9/2015,four,two,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,14,1,,,,,,
11_4,4,944,4,1,5/13/2015,nine,three,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,2,0,,,,,,
11_4,4,944,4,1,5/13/2015,nine,three,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,4,7,,,,,,
11_4,5,944,4,1,5/5/2015,one,one,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,2,3,,,,,,
11_4,5,944,4,1,5/5/2015,one,one,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,4,7,,,,,,
11_4,6,944,4,1,5/11/2015,seven,three,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,12,6,,,,,,
11_4,6,944,4,1,5/11/2015,seven,three,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,14,4,,,,,,
11_4,7,944,4,1,5/11/2015,six,two,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,2,11,,,,,,
11_4,7,944,4,1,5/11/2015,six,two,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,4,8,,,,,,
11_4,7,944,4,2,5/31/2016,six,two,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,14,4,,,,,,
11_4,7,944,4,2,5/31/2016,six,two,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,10,8,,,,,,
11_4,8,944,4,1,5/8/2015,three,one,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,2,0,,,,,,
11_4,8,944,4,1,5/8/2015,three,one,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,4,7,,,,,,
11_4,8,944,4,2,5/23/2016,three,one,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,10,0,,,,,,
11_4,8,944,4,2,5/23/2016,three,one,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,14,13,,,,,,
11_4,8,944,4,2,5/23/2016,three,one,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,6,26,,,,,,
11_4,9,944,4,1,5/6/2015,two,one,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,2,5,,,,,,
11_4,9,944,4,1,5/6/2015,two,one,mix high water,Ungrazed,Ungrazed,mix,high,water,na,C,4,3,,,,,,
11_4,10,472,4,1,5/12/2015,eight,three,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,2,0,,,,,,
11_4,10,472,4,1,5/12/2015,eight,three,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,4,5,,,,,,
11_4,10,472,4,2,6/5/2016,eight,three,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,6,3,,,,,,
11_4,10,472,4,2,6/5/2016,eight,three,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,14,3,,,,,,
11_4,11,472,4,1,5/10/2015,five,two,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,12,3,,,,,,
11_4,11,472,4,1,5/10/2015,five,two,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,14,1,,,,,,
11_4,12,472,4,1,5/9/2015,four,two,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,12,0,,,,,,
11_4,12,472,4,1,5/9/2015,four,two,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,14,0,,,,,,
11_4,13,472,4,1,5/13/2015,nine,three,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,2,2,,,,,,
11_4,13,472,4,1,5/13/2015,nine,three,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,4,2,,,,,,
11_4,14,472,4,1,5/5/2015,one,one,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,12,3,,,,,,
11_4,14,472,4,1,5/5/2015,one,one,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,14,,,,,,,
11_4,15,472,4,1,5/11/2015,seven,three,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,12,1,,,,,,
11_4,15,472,4,1,5/11/2015,seven,three,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,14,2,,,,,,
11_4,16,472,4,1,5/11/2015,six,two,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,12,6,,,,,,
11_4,16,472,4,1,5/11/2015,six,two,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,14,8,,,,,,
11_4,16,472,4,2,5/31/2016,six,two,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,50,0,,,,,,
11_4,16,472,4,2,5/31/2016,six,two,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,54,4,,,,,,
11_4,17,472,4,1,5/8/2015,three,one,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,12,1,,,,,,
11_4,17,472,4,1,5/8/2015,three,one,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,14,3,,,,,,
11_4,17,472,4,2,5/23/2016,three,one,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,46,1,,,,,,
11_4,17,472,4,2,5/23/2016,three,one,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,50,10,,,,,,
11_4,17,472,4,2,5/23/2016,three,one,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,54,12,,,,,,
11_4,18,472,4,1,5/6/2015,two,one,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,12,4,,,,,,
11_4,18,472,4,1,5/6/2015,two,one,mix low water,Ungrazed,Ungrazed,mix,low,water,na,C,14,1,,,,,,
11_5,1,944,5,2,6/1/2016,five,two,mix high,Fall,Grazed,mix,high,no water,na,UC,14,0,,,,,,
11_5,1,944,5,2,6/1/2016,five,two,mix high,Fall,Grazed,mix,high,no water,na,UC,6,3,,,,,,
11_5,2,944,5,2,5/18/2016,one,one,mix high,Fall,Grazed,mix,high,no water,na,UC,6,2,,,,,,
11_5,2,944,5,2,5/18/2016,one,one,mix high,Fall,Grazed,mix,high,no water,na,UC,14,12,,,,,,
11_5,2,944,5,2,5/18/2016,one,one,mix high,Fall,Grazed,mix,high,no water,na,UC,10,13,,,,,,
11_5,3,944,5,2,6/3/2016,seven,three,mix high,Fall,Grazed,mix,high,no water,na,UC,54,0,,,,,,
11_5,3,944,5,2,6/3/2016,seven,three,mix high,Fall,Grazed,mix,high,no water,na,UC,46,1,,,,,,
11_5,4,472,5,2,6/1/2016,five,two,mix low,Fall,Grazed,mix,low,no water,na,UC,54,1,,,,,,
11_5,4,472,5,2,6/1/2016,five,two,mix low,Fall,Grazed,mix,low,no water,na,UC,50,2,,,,,,
11_5,5,472,5,2,5/19/2016,one,one,mix low,Fall,Grazed,mix,low,no water,na,UC,14,5,,,,,,
11_5,5,472,5,2,5/19/2016,one,one,mix low,Fall,Grazed,mix,low,no water,na,UC,10,6,,,,,,
11_5,5,472,5,2,5/19/2016,one,one,mix low,Fall,Grazed,mix,low,no water,na,UC,6,20,,,,,,
11_5,6,472,5,2,6/3/2016,seven,three,mix low,Fall,Grazed,mix,low,no water,na,UC,14,0,,,,,,
11_5,6,472,5,2,6/3/2016,seven,three,mix low,Fall,Grazed,mix,low,no water,na,UC,6,3,,,,,,
11_5,7,944,5,2,6/2/2016,four,two,mix high,Spring,Grazed,mix,high,no water,na,UC,6,4,,,,,,
11_5,7,944,5,2,6/2/2016,four,two,mix high,Spring,Grazed,mix,high,no water,na,UC,14,24,,,,,,
11_5,8,944,5,2,6/4/2016,nine,three,mix high,Spring,Grazed,mix,high,no water,na,UC,46,0,,,,,,
11_5,8,944,5,2,6/4/2016,nine,three,mix high,Spring,Grazed,mix,high,no water,na,UC,54,8,,,,,,
11_5,9,944,5,2,5/21/2016,two,one,mix high,Spring,Grazed,mix,high,no water,na,UC,50,3,,,,,,
11_5,9,944,5,2,5/21/2016,two,one,mix high,Spring,Grazed,mix,high,no water,na,UC,54,8,,,,,,
11_5,9,944,5,2,5/21/2016,two,one,mix high,Spring,Grazed,mix,high,no water,na,UC,46,24,,,,,,
11_5,19,472,5,2,6/2/2016,four,two,mix low,Spring,Grazed,mix,low,no water,na,UC,54,3,,,,,,
11_5,19,472,5,2,6/2/2016,four,two,mix low,Spring,Grazed,mix,low,no water,na,UC,46,5,,,,,,
11_5,11,472,5,2,6/4/2016,nine,three,mix low,Spring,Grazed,mix,low,no water,na,UC,46,2,,,,,,
11_5,11,472,5,2,6/4/2016,nine,three,mix low,Spring,Grazed,mix,low,no water,na,UC,54,2,,,,,,
11_5,12,472,5,2,5/21/2016,two,one,mix low,Spring,Grazed,mix,low,no water,na,UC,50,5,,,,,,
11_5,12,472,5,2,5/21/2016,two,one,mix low,Spring,Grazed,mix,low,no water,na,UC,54,6,,,,,,
11_5,12,472,5,2,5/21/2016,two,one,mix low,Spring,Grazed,mix,low,no water,na,UC,46,10,,,,,,
11_6,1,944,6,2,6/1/2016,five,two,mix high water,Fall,Grazed,mix,high,water,na,UC,50,2,,,,,,
11_6,1,944,6,2,6/1/2016,five,two,mix high water,Fall,Grazed,mix,high,water,na,UC,54,4,,,,,,
11_6,2,944,6,2,6/3/2016,seven,three,mix high water,Fall,Grazed,mix,high,water,na,UC,14,5,,,,,,
11_6,2,944,6,2,6/3/2016,seven,three,mix high water,Fall,Grazed,mix,high,water,na,UC,6,7,,,,,,
11_6,3,472,6,2,6/1/2016,five,two,mix low water,Fall,Grazed,mix,low,water,na,UC,10,8,,,,,,
11_6,3,472,6,2,6/1/2016,five,two,mix low water,Fall,Grazed,mix,low,water,na,UC,14,12,,,,,,
11_6,4,472,6,2,5/18/2016,one,one,mix low water,Fall,Grazed,mix,low,water,na,UC,6,0,,,,,,
11_6,4,472,6,2,5/18/2016,one,one,mix low water,Fall,Grazed,mix,low,water,na,UC,10,3,,,,,,
11_6,4,472,6,2,5/18/2016,one,one,mix low water,Fall,Grazed,mix,low,water,na,UC,14,8,,,,,,
11_6,5,472,6,2,6/3/2016,seven,three,mix low water,Fall,Grazed,mix,low,water,na,UC,14,1,,,,,,
11_6,5,472,6,2,6/3/2016,seven,three,mix low water,Fall,Grazed,mix,low,water,na,UC,6,3,,,,,,
11_6,6,944,6,2,6/2/2016,four,two,mix high water,Spring,Grazed,mix,high,water,na,UC,14,3,,,,,,
11_6,6,944,6,2,6/2/2016,four,two,mix high water,Spring,Grazed,mix,high,water,na,UC,6,6,,,,,,
11_6,7,944,6,2,6/4/2016,nine,three,mix high water,Spring,Grazed,mix,high,water,na,UC,54,1,,,,,,
11_6,7,944,6,2,6/4/2016,nine,three,mix high water,Spring,Grazed,mix,high,water,na,UC,46,7,,,,,,
11_6,8,944,6,2,5/19/2016,two,one,mix high water,Spring,Grazed,mix,high,water,na,UC,50,0,,,,,,
11_6,8,944,6,2,5/19/2016,two,one,mix high water,Spring,Grazed,mix,high,water,na,UC,54,4,,,,,,
11_6,8,944,6,2,5/19/2016,two,one,mix high water,Spring,Grazed,mix,high,water,na,UC,46,16,,,,,,
11_6,9,472,6,2,6/2/2016,four,two,mix low water,Spring,Grazed,mix,low,water,na,UC,6,0,,,,,,
11_6,9,472,6,2,6/2/2016,four,two,mix low water,Spring,Grazed,mix,low,water,na,UC,14,3,,,,,,
11_6,10,472,6,2,6/4/2016,nine,three,mix low water,Spring,Grazed,mix,low,water,na,UC,46,2,,,,,,
11_6,10,472,6,2,6/4/2016,nine,three,mix low water,Spring,Grazed,mix,low,water,na,UC,54,4,,,,,,
11_6,11,472,6,2,5/20/2016,two,one,mix low water,Spring,Grazed,mix,low,water,na,UC,6,4,,,,,,
11_6,11,472,6,2,5/20/2016,two,one,mix low water,Spring,Grazed,mix,low,water,na,UC,10,6,,,,,,
11_6,11,472,6,2,5/20/2016,two,one,mix low water,Spring,Grazed,mix,low,water,na,UC,14,15,,,,,,
11_7,1,944,7,1,5/12/2015,eight,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,12,3,,,,,,
11_7,1,944,7,1,5/12/2015,eight,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,14,16,,,,,,
11_7,1,944,7,2,6/5/2016,eight,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,57,6,,,,,,
11_7,1,944,7,2,6/5/2016,eight,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,49,29,,,,,,
11_7,2,944,7,1,5/9/2015,five,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,2,8,,,,,,
11_7,2,944,7,1,5/9/2015,five,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,4,24,,,,,,
11_7,3,944,7,1,5/9/2015,four,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,2,5,,,,,,
11_7,3,944,7,1,5/9/2015,four,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,4,5,,,,,,
11_7,4,944,7,1,5/13/2015,nine,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,12,13,,,,,,
11_7,4,944,7,1,5/13/2015,nine,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,14,13,,,,,,
11_7,5,944,7,1,5/5/2015,one,one,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,2,8,,,,,,
11_7,5,944,7,1,5/5/2015,one,one,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,4,3,,,,,,
11_7,6,944,7,1,5/11/2015,seven,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,12,0,,,,,,
11_7,6,944,7,1,5/11/2015,seven,three,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,14,1,,,,,,
11_7,7,944,7,1,5/11/2015,six,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,12,9,,,,,,
11_7,7,944,7,1,5/11/2015,six,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,14,5,,,,,,
11_7,7,944,7,2,5/31/2016,six,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,50,6,,,,,,
11_7,7,944,7,2,5/31/2016,six,two,mix high,Ungrazed,Ungrazed,mix,high,no water,na,UC,54,29,,,,,,
