veg_resultid,areaid,speciesid,cultivarid
2208,1095,484,
2214,1096,484,
2220,1097,484,
2226,1098,484,
2232,1099,484,
2238,1100,484,
2244,1101,484,
2250,1102,484,
2256,1103,484,
2262,1104,484,
2268,1105,484,
2274,1106,484,
2280,1107,484,
2286,1108,484,
2292,1109,484,
2298,1110,484,
2304,1111,484,
2310,1112,484,
2316,1113,484,
2322,1114,484,
2328,1115,484,
2334,1116,484,
2340,1117,484,
2346,1118,484,
2352,1119,484,
2358,1120,484,
2364,1121,484,
2370,1122,484,
2376,1123,484,
2382,1124,484,
2388,1125,484,
2394,1126,484,
2400,1127,484,
2406,1128,484,
2412,1129,484,
2418,1130,484,
2424,1131,484,
2430,1132,484,
2436,1133,484,
2442,1134,484,
2448,1135,484,
2454,1136,484,
2460,1137,484,
2466,1138,484,
2472,1139,484,
2478,1140,484,
2484,1141,484,
2490,1142,484,
2496,1143,484,
2502,1144,484,
2508,1145,484,
2514,1146,484,
2520,1147,484,
2526,1148,484,
2532,1149,484,
2538,1150,484,
2544,1151,484,
2550,1152,484,
2556,1153,484,
2562,1154,484,
2568,1155,484,
2574,1156,484,
2580,1157,484,
2586,1158,484,
2592,1159,484,
2598,1160,484,
2604,1161,484,
2610,1162,484,
2616,1163,484,
2622,1164,484,
2628,1165,484,
2634,1166,484,
2640,1167,484,
2646,1168,484,
2652,1169,484,
2658,1170,484,
2664,1171,484,
2670,1172,484,
2676,1173,484,
2682,1174,484,
2688,1175,484,
2694,1176,484,
2700,1177,484,
2706,1178,484,
2712,1179,484,
2718,1180,484,
2724,1181,484,
2730,1182,484,
2736,1183,484,
2742,1184,484,
2748,1185,484,
2754,1186,484,
2760,1187,484,
2766,1188,484,
2772,1189,484,
2778,1190,484,
2784,1191,484,
2790,1192,484,
2796,1193,484,
2802,1194,484,
2808,1195,484,
2814,1196,484,
2820,1197,484,
2826,1198,484,
2832,1199,484,
2838,1200,484,
2844,1201,484,
2850,1202,484,
2856,1203,484,
2862,1204,484,
2868,1205,484,
2874,1206,484,
2880,1207,484,
2886,1208,484,
2892,1209,484,
2898,1210,484,
2904,1211,484,
2910,1212,484,
2916,1213,484,
2922,1214,484,
2928,1215,484,
2934,1216,484,
2940,1217,484,
2946,1218,484,
2952,1219,484,
2958,1220,484,
2964,1221,484,
2970,1222,484,
2976,1223,484,
2982,1224,484,
2988,1225,484,
2994,1226,484,
3000,1227,484,
3006,1228,484,
3012,1229,484,
3018,1230,484,
3024,1231,484,
3030,1232,484,
3036,1233,484,
3042,1234,484,
3048,1235,484,
3054,1236,484,
3060,1237,484,
3066,1238,484,
3072,1239,484,
3078,1240,484,
3084,1241,484,
3090,1242,484,
3096,1243,484,
3102,1244,484,
3108,1245,484,
3114,1246,484,
3120,1247,484,
3126,1248,484,
3132,1249,484,
3138,1250,484,
3144,1251,484,
3150,1252,484,
3156,1253,484,
3162,1254,484,
3168,1255,484,
3174,1256,484,
3180,1257,484,
3186,1258,484,
3192,1259,484,
3198,1260,484,
3204,1261,484,
3210,1262,484,
3216,1263,484,
3222,1264,484,
3228,1265,484,
3234,1266,484,
3240,1267,484,
3246,1268,484,
3252,1269,484,
3258,1270,484,
3264,1271,484,
3270,1272,484,
3276,1273,484,
3282,1274,484,
3288,1275,484,
3294,1276,484,
3300,1277,484,
3306,1278,484,
3312,1279,484,
3318,1280,484,
3324,1281,484,
3330,1282,484,
3336,1283,484,
3342,1284,484,
3348,1285,484,
3354,1286,484,
3360,1287,484,
3366,1288,484,
3372,1289,484,
3378,1290,484,
3384,1291,484,
3390,1292,484,
3396,1293,484,
3402,1294,484,
3408,1295,484,
3414,1296,484,
3420,1297,484,
3426,1298,484,
3432,1299,484,
3438,1300,484,
3444,1301,484,
3450,1302,484,
3456,1303,484,
3462,1304,484,
3468,1305,484,
3474,1306,484,
3480,1307,484,
3486,1308,484,
3492,1309,484,
3498,1310,484,
3504,1311,484,
3510,1312,484,
3516,1313,484,
3522,1314,484,
3528,1315,484,
3534,1316,484,
3540,1317,484,
3546,1318,484,
3552,1319,484,
3558,1320,484,
3564,1321,484,
3570,1322,484,
3576,1323,484,
3582,1324,484,
3588,1325,484,
3594,1326,484,
3600,1327,484,
3606,1328,484,
3612,1329,484,
3618,1330,484,
3624,1331,484,
3630,1332,484,
3636,1333,484,
3642,1334,484,
3648,1335,484,
3654,1336,484,
3660,1337,484,
3666,1338,484,
3672,1339,484,
3678,1340,484,
3684,1341,484,
3690,1342,484,
3696,1343,484,
3702,1344,484,
3708,1345,484,
3714,1346,484,
3720,1347,484,
3726,1348,484,
3732,1349,484,
3738,1350,484,
3744,1351,484,
3750,1352,484,
3756,1353,484,
3762,1354,484,
3768,1355,484,
3774,1356,484,
3780,1357,484,
3786,1358,484,
3792,1359,484,
3798,1360,484,
3804,1361,484,
3810,1362,484,
3816,1363,484,
3822,1364,484,
3828,1365,484,
3834,1366,484,
3840,1367,484,
3846,1368,484,
3852,1369,484,
3858,1370,484,
3864,1371,484,
3870,1372,484,
3876,1373,484,
3882,1374,484,
3888,1375,484,
3894,1376,484,
3900,1377,484,
3906,1378,484,
3912,1379,484,
3918,1380,484,
3924,1381,484,
3930,1382,484,
3936,1383,484,
3942,1384,484,
3948,1385,484,
3954,1386,484,
3960,1387,484,
3966,1388,484,
3972,1389,484,
3978,1390,484,
3984,1391,484,
3990,1392,484,
3996,1393,484,
4002,1394,484,
4008,1395,484,
4014,1396,484,
4020,1397,484,
4026,1398,484,
4032,1399,484,
4038,1400,484,
4044,1401,484,
4050,1402,484,
