seedingid,treatmentid,speciesid,cultivarid,rate,unit
1416,280,484,,340,seeds/m2
1434,281,484,,5046,seeds/m2
1452,282,484,,340,seeds/m2
1469,283,484,,340,seeds/m2
1486,284,484,,340,seeds/m2
1503,285,484,,125,seeds/m2
1522,286,484,,1354,seeds/m2
1542,287,484,,125,seeds/m2
1563,288,484,,2575,seeds/m2
1603,291,484,,260,seeds/m2
1618,292,484,,523,seeds/m2
1632,293,484,,173,seeds/m2
1645,294,484,,260,seeds/m2
1659,295,484,,260,seeds/m2
1672,296,484,,260,seeds/m2
1686,297,484,,58,seeds/m2
1703,298,484,,2164,seeds/m2
1719,299,484,,2164,seeds/m2
1735,300,484,,260,seeds/m2
1748,301,484,,481,seeds/m2
1768,302,484,,260,seeds/m2
1782,303,484,,260,seeds/m2
1796,304,484,,173,seeds/m2
1809,305,484,,173,seeds/m2
1822,306,484,,260,seeds/m2
1837,307,484,,173,seeds/m2
1852,308,484,,1354,seeds/m2
1872,309,484,,260,seeds/m2
1887,310,484,,173,seeds/m2
1900,311,484,,173,seeds/m2
1913,312,484,,2164,seeds/m2
1928,313,484,,54,seeds/m2
1978,316,484,,199,seeds/m2
1996,317,484,,26,seeds/m2
2018,318,484,,1311,seeds/m2
2054,320,484,,13,seeds/m2
2072,321,484,,151,seeds/m2
2085,322,484,,252,seeds/m2
2102,323,484,,151,seeds/m2
2130,325,484,,87,seeds/m2
2146,326,484,,87,seeds/m2
2156,327,484,,1385,seeds/m2
2170,328,484,,1297,seeds/m2
2189,329,484,,436,seeds/m2
2207,330,484,,216,seeds/m2
2217,331,484,,86,seeds/m2
2230,332,484,,86,seeds/m2
2249,333,484,,1384,seeds/m2
2269,334,484,,1384,seeds/m2
2283,335,484,,54,seeds/m2
2307,337,484,,54,seeds/m2
2320,338,484,,54,seeds/m2
2337,339,484,,87,seeds/m2
2344,340,484,,216,seeds/m2
2353,341,484,,216,seeds/m2
2363,342,484,,86,seeds/m2
2375,343,484,,13,seeds/m2
2393,344,484,,13,seeds/m2
2412,345,484,,1328,seeds/m2
2431,346,484,,86,seeds/m2
2451,347,484,,1432,seeds/m2
2469,348,484,,1298,seeds/m2
2486,349,484,,190,seeds/m2
2500,350,484,,190,seeds/m2
2514,351,484,,772,seeds/m2
2526,352,484,,1081,seeds/m2
2550,354,484,,1081,seeds/m2
2563,355,484,,260,seeds/m2
2576,356,484,,260,seeds/m2
2589,357,484,,87,seeds/m2
2605,358,484,,260,seeds/m2
2618,359,484,,190,seeds/m2
2630,360,484,,54,seeds/m2
2643,361,484,,54,seeds/m2
2657,362,484,,1298,seeds/m2
2669,363,484,,772,seeds/m2
2681,364,484,,256,seeds/m2
2695,365,484,,256,seeds/m2
2709,366,484,,256,seeds/m2
2723,367,484,,256,seeds/m2
2737,368,484,,86,seeds/m2
2757,369,484,,256,seeds/m2
2771,370,484,,256,seeds/m2
2784,371,484,,219,seeds/m2
2794,372,484,,219,seeds/m2
2804,373,484,,58,seeds/m2
2841,375,484,,26,seeds/m2
2853,376,484,,13,seeds/m2
2872,377,484,,13,seeds/m2
2893,378,484,,13,seeds/m2
2909,379,484,,87,seeds/m2
2924,380,484,,26,seeds/m2
2945,381,484,,13,seeds/m2
2965,382,484,,13,seeds/m2
2985,383,484,,13,seeds/m2
3004,384,484,,13,seeds/m2
3026,385,484,,256,seeds/m2
3038,386,484,,54,seeds/m2
3051,387,484,,58,seeds/m2
3067,388,484,,167,seeds/m2
3089,389,484,,26,seeds/m2
3103,390,484,,87,seeds/m2
3110,391,484,,26,seeds/m2
3121,392,484,,26,seeds/m2
3133,393,484,,13,seeds/m2
3144,394,484,,13,seeds/m2
3160,395,484,,13,seeds/m2
3179,396,484,,256,seeds/m2
3193,397,484,,256,seeds/m2
3207,399,484,,151,seeds/m2
3223,400,484,,40,seeds/m2
