project_code,sheet,DB,projectid,studytype,contributor,email,continent,country,state,vegmetric,spatialmetric,surveyunit,tsrfirst,tsrlast,timepoints,community,refdata,availability,notes,siteid,sitename,latitude,longitude,refecosystem,USDA.class,USDA.subclass,USDA.subsubclass,landcover,growingseasonstart,growingseasonend,sand,silt,clay,soildescription,soildepth,elevation,aspect,slope,precipc,tempc,aridity,temp,drange,iso,tseason,mtwarm,mtcold,trange,twetq,tdryq,twarmq,tcoldq,precip,pwet,pdry,pseason,pwetq,pdryq,pwarmq,pcoldq,disturbance,minetype,ogtype,invasivespe,invasiveform,treatmentid,restorationtype,tsr_start_year,trt_year,trt_tsr,disturbanceendyear,treatmentmonth,treatmentday,othertreatments,treatment_category,treatment_type,treatment_amount,treatment_units,tsr,year,month,day,speciesid,cultivarid,trt,mix_trt,treated_richness,rate,unit,viability,seedpretreatment,seed_origin,source,seeddist,id,block,replicate,speciesorigin,response,responselevel,responsemetric,measurementscale,measurementmetric,X3,papernumber,author,pubyear,pubtitle,pubjournal,pubDOI,pubURL,pubcorrespondingauthoremail,datadateofdownload,citationofdatasource,creativecommonsliscence,conditionsforuseandrepublishing
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_19,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_20,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_20,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_3,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_3,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_4,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_4,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_5,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_5,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_6,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_6,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_7,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_7,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_8,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_8,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_9,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_9,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_1,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_10,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_11,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_12,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_13,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_14,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_15,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_16,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_17,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_18,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_19,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_2,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_20,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_3,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_4,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_5,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_6,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_7,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_8,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,timepoints,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_9,,,,,,,,,,,,,6,2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_1,,,2016,,,,,,,hand,,,,,,,aca_hil,,seeding,known,5,56.25,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_1,,,2016,,,,,,,hand,,,,,,,aca_ina,,seeding,known,5,62.50,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_1,,,2016,,,,,,,hand,,,,,,,ind_mon,,seeding,known,5,62.50,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_1,,,2016,,,,,,,hand,,,,,,,tri_epa,,seeding,known,5,62.50,seeds/m2,,cleaned,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_1,,,2016,,,,,,,hand,,,,,,,tri_wis,,seeding,known,5,100.00,seeds/m2,,cleaned,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_10,,,2016,,,,,,,hand,,,,,,,aca_hil,,seeding,known,5,56.25,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_10,,,2016,,,,,,,hand,,,,,,,aca_ina,,seeding,known,5,62.50,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_10,,,2016,,,,,,,hand,,,,,,,ind_mon,,seeding,known,5,62.50,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_10,,,2016,,,,,,,hand,,,,,,,tri_epa,,seeding,known,5,62.50,seeds/m2,,cleaned,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_10,,,2016,,,,,,,hand,,,,,,,tri_wis,,seeding,known,5,100.00,seeds/m2,,cleaned,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_11,,,2016,,,,,,,hand,,,,,,,aca_hil,,seeding,known,5,56.25,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_11,,,2016,,,,,,,hand,,,,,,,aca_ina,,seeding,known,5,62.50,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_11,,,2016,,,,,,,hand,,,,,,,ind_mon,,seeding,known,5,62.50,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_11,,,2016,,,,,,,hand,,,,,,,tri_epa,,seeding,known,5,62.50,seeds/m2,,cleaned,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_11,,,2016,,,,,,,hand,,,,,,,tri_wis,,seeding,known,5,100.00,seeds/m2,,cleaned,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_12,,,2016,,,,,,,hand,,,,,,,aca_hil,,seeding,known,5,56.25,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_12,,,2016,,,,,,,hand,,,,,,,aca_ina,,seeding,known,5,62.50,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_12,,,2016,,,,,,,hand,,,,,,,ind_mon,,seeding,known,5,62.50,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_12,,,2016,,,,,,,hand,,,,,,,tri_epa,,seeding,known,5,62.50,seeds/m2,,cleaned,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_12,,,2016,,,,,,,hand,,,,,,,tri_wis,,seeding,known,5,100.00,seeds/m2,,cleaned,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_13,,,2016,,,,,,,hand,,,,,,,aca_hil,,seeding,known,5,56.25,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,trtrates,gazp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_13,,,2016,,,,,,,hand,,,,,,,aca_ina,,seeding,known,5,62.50,seeds/m2,,boiled,native,,,,,,,,,,,,,,,,,,,,,,,,
