source_row,source_observationid,source_treatmentid,block,replicate,area_key,area_found,explicit_area_treatment_found,timepoint_found,source_species_code,prepare_status
66,GAZP_11,11_27,806,43,plot:166:806:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
67,GAZP_11,11_27,808,121,plot:166:808:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
68,GAZP_11,11_27,808,141,plot:166:808:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
69,GAZP_11,11_27,809,121,plot:166:809:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
70,GAZP_11,11_27,809,141,plot:166:809:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
71,GAZP_11,11_28,310,23,plot:166:310:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
72,GAZP_11,11_28,310,43,plot:166:310:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
73,GAZP_11,11_28,311,22,plot:166:311:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
74,GAZP_11,11_28,311,42,plot:166:311:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
75,GAZP_11,11_28,312,22,plot:166:312:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
76,GAZP_11,11_28,312,42,plot:166:312:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
77,GAZP_11,11_28,313,23,plot:166:313:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
78,GAZP_11,11_28,313,43,plot:166:313:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
79,GAZP_11,11_28,314,121,plot:166:314:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
80,GAZP_11,11_28,314,141,plot:166:314:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
81,GAZP_11,11_28,315,23,plot:166:315:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
82,GAZP_11,11_28,315,43,plot:166:315:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
83,GAZP_11,11_28,316,22,plot:166:316:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
84,GAZP_11,11_28,316,42,plot:166:316:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
85,GAZP_11,11_28,317,121,plot:166:317:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
86,GAZP_11,11_28,317,141,plot:166:317:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
87,GAZP_11,11_28,318,21,plot:166:318:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
88,GAZP_11,11_28,318,41,plot:166:318:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
89,GAZP_11,11_28,410,23,plot:166:410:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
90,GAZP_11,11_28,410,43,plot:166:410:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
91,GAZP_11,11_28,411,122,plot:166:411:122,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
92,GAZP_11,11_28,411,142,plot:166:411:142,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
93,GAZP_11,11_28,412,122,plot:166:412:122,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
94,GAZP_11,11_28,412,142,plot:166:412:142,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
95,GAZP_11,11_28,413,23,plot:166:413:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
96,GAZP_11,11_28,413,43,plot:166:413:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
97,GAZP_11,11_28,414,121,plot:166:414:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
98,GAZP_11,11_28,414,141,plot:166:414:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
99,GAZP_11,11_28,415,123,plot:166:415:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
100,GAZP_11,11_28,415,143,plot:166:415:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
101,GAZP_11,11_28,416,122,plot:166:416:122,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
102,GAZP_11,11_28,416,142,plot:166:416:142,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
103,GAZP_11,11_28,417,121,plot:166:417:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
104,GAZP_11,11_28,417,141,plot:166:417:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
105,GAZP_11,11_28,418,121,plot:166:418:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
106,GAZP_11,11_28,418,141,plot:166:418:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
107,GAZP_11,11_29,710,123,plot:166:710:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
108,GAZP_11,11_29,710,143,plot:166:710:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
109,GAZP_11,11_29,711,122,plot:166:711:122,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
110,GAZP_11,11_29,711,142,plot:166:711:142,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
111,GAZP_11,11_29,712,122,plot:166:712:122,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
112,GAZP_11,11_29,712,142,plot:166:712:142,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
113,GAZP_11,11_29,713,123,plot:166:713:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
114,GAZP_11,11_29,713,143,plot:166:713:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
115,GAZP_11,11_29,714,21,plot:166:714:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
116,GAZP_11,11_29,714,41,plot:166:714:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
117,GAZP_11,11_29,715,123,plot:166:715:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
118,GAZP_11,11_29,715,143,plot:166:715:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
119,GAZP_11,11_29,716,122,plot:166:716:122,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
120,GAZP_11,11_29,716,142,plot:166:716:142,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
121,GAZP_11,11_29,717,21,plot:166:717:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
122,GAZP_11,11_29,717,41,plot:166:717:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
123,GAZP_11,11_29,718,121,plot:166:718:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
124,GAZP_11,11_29,718,141,plot:166:718:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
125,GAZP_11,11_29,810,123,plot:166:810:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
126,GAZP_11,11_29,810,143,plot:166:810:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
127,GAZP_11,11_29,811,22,plot:166:811:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
128,GAZP_11,11_29,811,42,plot:166:811:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
129,GAZP_11,11_29,812,22,plot:166:812:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
130,GAZP_11,11_29,812,42,plot:166:812:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
131,GAZP_11,11_29,813,123,plot:166:813:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
132,GAZP_11,11_29,813,143,plot:166:813:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
133,GAZP_11,11_29,814,21,plot:166:814:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
134,GAZP_11,11_29,814,41,plot:166:814:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
135,GAZP_11,11_29,815,23,plot:166:815:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
136,GAZP_11,11_29,815,43,plot:166:815:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
137,GAZP_11,11_29,816,22,plot:166:816:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
138,GAZP_11,11_29,816,42,plot:166:816:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
139,GAZP_11,11_29,817,21,plot:166:817:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
140,GAZP_11,11_29,817,41,plot:166:817:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
141,GAZP_11,11_29,818,21,plot:166:818:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
142,GAZP_11,11_29,818,41,plot:166:818:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
143,GAZP_11,11_30,1101,53,plot:166:1101:53,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
144,GAZP_11,11_30,1102,32,plot:166:1102:32,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
145,GAZP_11,11_30,1103,42,plot:166:1103:42,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
146,GAZP_11,11_30,1104,153,plot:166:1104:153,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
147,GAZP_11,11_30,1105,21,plot:166:1105:21,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
148,GAZP_11,11_30,1106,153,plot:166:1106:153,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
149,GAZP_11,11_30,1107,52,plot:166:1107:52,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
150,GAZP_11,11_30,1108,31,plot:166:1108:31,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
151,GAZP_11,11_30,1109,31,plot:166:1109:31,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
152,GAZP_11,11_30,1201,53,plot:166:1201:53,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
153,GAZP_11,11_30,1202,32,plot:166:1202:32,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
154,GAZP_11,11_30,1203,12,plot:166:1203:12,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
155,GAZP_11,11_30,1204,13,plot:166:1204:13,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
156,GAZP_11,11_30,1205,111,plot:166:1205:111,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
157,GAZP_11,11_30,1206,43,plot:166:1206:43,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
158,GAZP_11,11_30,1207,52,plot:166:1207:52,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
159,GAZP_11,11_30,1208,11,plot:166:1208:11,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
160,GAZP_11,11_30,1209,31,plot:166:1209:31,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
161,GAZP_11,11_31,1501,123,plot:166:1501:123,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
162,GAZP_11,11_31,1502,152,plot:166:1502:152,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
163,GAZP_11,11_31,1503,112,plot:166:1503:112,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
164,GAZP_11,11_31,1504,43,plot:166:1504:43,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
165,GAZP_11,11_31,1505,121,plot:166:1505:121,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
166,GAZP_11,11_31,1506,43,plot:166:1506:43,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
167,GAZP_11,11_31,1507,142,plot:166:1507:142,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
168,GAZP_11,11_31,1508,131,plot:166:1508:131,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
169,GAZP_11,11_31,1509,121,plot:166:1509:121,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
170,GAZP_11,11_31,1601,153,plot:166:1601:153,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
171,GAZP_11,11_31,1602,122,plot:166:1602:122,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
172,GAZP_11,11_31,1603,142,plot:166:1603:142,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
173,GAZP_11,11_31,1604,113,plot:166:1604:113,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
174,GAZP_11,11_31,1605,11,plot:166:1605:11,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
175,GAZP_11,11_31,1606,133,plot:166:1606:133,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
176,GAZP_11,11_31,1607,132,plot:166:1607:132,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
177,GAZP_11,11_31,1608,141,plot:166:1608:141,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
178,GAZP_11,11_31,1609,151,plot:166:1609:151,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
179,GAZP_11,11_32,1110,13,plot:166:1110:13,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
180,GAZP_11,11_32,1111,12,plot:166:1111:12,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
181,GAZP_11,11_32,1112,22,plot:166:1112:22,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
182,GAZP_11,11_32,1113,43,plot:166:1113:43,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
183,GAZP_11,11_32,1114,21,plot:166:1114:21,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
184,GAZP_11,11_32,1115,53,plot:166:1115:53,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
185,GAZP_11,11_32,1116,42,plot:166:1116:42,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
186,GAZP_11,11_32,1117,121,plot:166:1117:121,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
187,GAZP_11,11_32,1118,121,plot:166:1118:121,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
188,GAZP_11,11_32,1210,143,plot:166:1210:143,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
189,GAZP_11,11_32,1211,132,plot:166:1211:132,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
190,GAZP_11,11_32,1212,152,plot:166:1212:152,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
191,GAZP_11,11_32,1213,153,plot:166:1213:153,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
192,GAZP_11,11_32,1214,21,plot:166:1214:21,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
193,GAZP_11,11_32,1215,13,plot:166:1215:13,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
194,GAZP_11,11_32,1216,12,plot:166:1216:12,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
195,GAZP_11,11_32,1217,111,plot:166:1217:111,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
196,GAZP_11,11_32,1218,21,plot:166:1218:21,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
197,GAZP_11,11_33,1510,153,plot:166:1510:153,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
198,GAZP_11,11_33,1511,132,plot:166:1511:132,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
199,GAZP_11,11_33,1512,142,plot:166:1512:142,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
200,GAZP_11,11_33,1513,143,plot:166:1513:143,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
201,GAZP_11,11_33,1514,141,plot:166:1514:141,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
202,GAZP_11,11_33,1515,153,plot:166:1515:153,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
203,GAZP_11,11_33,1516,152,plot:166:1516:152,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
204,GAZP_11,11_33,1517,11,plot:166:1517:11,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
205,GAZP_11,11_33,1518,51,plot:166:1518:51,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
206,GAZP_11,11_33,1610,53,plot:166:1610:53,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
207,GAZP_11,11_33,1611,42,plot:166:1611:42,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
208,GAZP_11,11_33,1612,42,plot:166:1612:42,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
209,GAZP_11,11_33,1613,23,plot:166:1613:23,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
210,GAZP_11,11_33,1614,151,plot:166:1614:151,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
211,GAZP_11,11_33,1615,143,plot:166:1615:143,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
212,GAZP_11,11_33,1616,142,plot:166:1616:142,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
213,GAZP_11,11_33,1617,51,plot:166:1617:51,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
214,GAZP_11,11_33,1618,141,plot:166:1618:141,TRUE,TRUE,TRUE,Ely_ely,ready_for_build
215,GAZP_11,11_34,1101,23,plot:166:1101:23,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
216,GAZP_11,11_34,1102,42,plot:166:1102:42,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
217,GAZP_11,11_34,1103,22,plot:166:1103:22,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
218,GAZP_11,11_34,1104,133,plot:166:1104:133,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
219,GAZP_11,11_34,1105,11,plot:166:1105:11,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
220,GAZP_11,11_34,1106,113,plot:166:1106:113,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
221,GAZP_11,11_34,1107,32,plot:166:1107:32,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
222,GAZP_11,11_34,1108,51,plot:166:1108:51,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
223,GAZP_11,11_34,1109,21,plot:166:1109:21,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
224,GAZP_11,11_34,1201,23,plot:166:1201:23,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
225,GAZP_11,11_34,1202,22,plot:166:1202:22,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
226,GAZP_11,11_34,1203,22,plot:166:1203:22,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
227,GAZP_11,11_34,1204,43,plot:166:1204:43,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
228,GAZP_11,11_34,1205,151,plot:166:1205:151,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
229,GAZP_11,11_34,1206,33,plot:166:1206:33,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
230,GAZP_11,11_34,1207,32,plot:166:1207:32,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
231,GAZP_11,11_34,1208,51,plot:166:1208:51,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
232,GAZP_11,11_34,1209,11,plot:166:1209:11,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
233,GAZP_11,11_35,1501,153,plot:166:1501:153,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
234,GAZP_11,11_35,1502,122,plot:166:1502:122,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
235,GAZP_11,11_35,1503,142,plot:166:1503:142,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
236,GAZP_11,11_35,1504,13,plot:166:1504:13,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
237,GAZP_11,11_35,1505,151,plot:166:1505:151,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
238,GAZP_11,11_35,1506,13,plot:166:1506:13,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
239,GAZP_11,11_35,1507,132,plot:166:1507:132,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
240,GAZP_11,11_35,1508,111,plot:166:1508:111,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
241,GAZP_11,11_35,1509,131,plot:166:1509:131,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
242,GAZP_11,11_35,1601,113,plot:166:1601:113,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
243,GAZP_11,11_35,1602,152,plot:166:1602:152,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
244,GAZP_11,11_35,1603,122,plot:166:1603:122,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
245,GAZP_11,11_35,1604,133,plot:166:1604:133,TRUE,TRUE,TRUE,Ely_tra,ready_for_build
