STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20060801,9999,0,0,2,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,130,0,0,9999,0,0,189,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20060901,9999,0,0,5,0,0,2,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,185,0,0,9999,0,0,559,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20061001,9999,0,0,9,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,104,0,0,51,26,10,522,0,0,106,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20061101,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,56,0,0,51,25,12,94,0,0,77,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20061201,9999,0,0,1,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,64,0,0,114,2,1,90,0,0,139,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20070101,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,48,0,0,165,0,0,94,0,0,170,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20070201,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,43,0,0,216,0,0,145,0,0,336,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20070301,9999,0,0,3,0,0,2,0,0,2,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,762,0,0,914,1,1,1346,0,0,928,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20070401,9999,0,0,2,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,178,0,0,483,0,0,276,0,0,56,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20070501,9999,0,0,8,0,0,3,0,0,2,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,378,0,0,9999,0,0,1286,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20070601,9999,0,0,1,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,178,0,0,9999,0,0,178,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20080401,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,84,0,0,9999,0,0,249,0,0,64,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20080501,9999,0,0,12,0,0,2,0,0,2,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,371,0,0,9999,0,0,1396,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20080601,9999,0,0,5,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,218,0,0,9999,0,0,468,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20080701,9999,0,0,3,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,74,0,0,9999,0,0,148,0,0,0,2,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20080801,9999,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,20,0,0,9999,0,0,20,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20080901,9999,0,0,4,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,165,0,0,9999,0,0,428,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20081001,9999,0,0,5,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,229,0,0,191,10,10,496,0,0,254,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20081101,9999,0,0,1,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,66,0,0,13,21,19,82,0,0,18,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20081201,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,58,0,0,229,14,5,152,0,0,287,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20090101,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,91,0,0,229,0,0,218,0,0,427,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20090201,9999,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,8,0,0,203,1,1,19,0,0,69,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20090301,9999,0,0,4,0,0,2,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,203,0,0,254,13,7,495,0,0,571,5,4,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20090401,9999,0,0,4,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,64,0,0,229,15,15,255,0,0,191,7,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20090501,9999,0,0,3,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,79,0,0,9999,0,0,163,0,0,0,8,2,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20090601,9999,0,0,8,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,145,0,0,9999,0,0,646,0,0,0,14,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20090701,9999,0,0,3,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,193,0,0,9999,0,0,325,0,0,0,12,4,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20090801,9999,0,0,5,0,0,1,0,0,1,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,272,0,0,9999,0,0,504,0,0,0,12,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20090901,9999,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,13,0,0,9999,0,0,26,0,0,0,3,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20091001,9999,0,0,5,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,145,0,0,51,17,12,494,0,0,234,5,2,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20091101,9999,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,8,0,0,13,25,12,11,0,0,26,2,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20091201,9999,0,0,2,0,0,1,0,0,1,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,762,0,0,178,4,2,840,0,0,239,1,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20100101,9999,0,0,1,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,30,0,0,152,1,1,40,0,0,94,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20100201,9999,0,0,1,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,30,0,0,178,0,0,54,0,0,90,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20100301,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,66,0,0,51,15,11,127,0,0,45,3,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20100401,9999,0,0,5,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,124,0,0,89,25,22,374,0,0,102,10,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20100501,9999,0,0,7,0,0,3,0,0,1,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,330,0,0,102,4,3,1022,0,0,152,16,7,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20100601,9999,0,0,7,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,147,0,0,9999,0,0,589,0,0,0,13,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20100701,9999,0,0,4,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,234,0,0,9999,0,0,375,0,0,0,10,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20100801,9999,0,0,4,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,127,0,0,9999,0,0,329,0,0,0,8,4,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20100901,9999,0,0,1,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,41,0,0,9999,0,0,52,0,0,0,9,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20101001,9999,0,0,1,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,56,0,0,13,26,26,108,0,0,8,8,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20101101,9999,0,0,3,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,53,0,0,114,19,12,165,0,0,182,2,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20101201,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,43,0,0,152,2,1,94,0,0,105,2,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20110101,9999,0,0,5,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,79,0,0,216,0,0,253,0,0,316,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20110201,9999,0,0,1,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,30,0,0,254,2,2,66,0,0,149,2,2,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20110301,9999,0,0,5,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,185,0,0,457,1,1,366,0,0,671,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20110401,9999,0,0,4,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,137,0,0,51,3,1,414,0,0,74,2,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20110501,9999,0,0,14,0,0,7,0,0,4,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,340,0,0,0,0,0,2309,0,0,0,17,10,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20110601,9999,0,0,8,0,0,2,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,183,0,0,9999,0,0,721,0,0,0,13,5,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20110701,9999,0,0,2,0,0,2,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,173,0,0,9999,0,0,336,0,0,0,6,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20110801,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,114,0,0,9999,0,0,242,0,0,0,10,2,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20110901,9999,0,0,1,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,38,0,0,9999,0,0,56,0,0,0,4,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20111001,9999,0,0,3,0,0,2,0,0,1,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,282,0,0,9999,0,0,519,0,0,0,10,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20111101,9999,0,0,3,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,58,0,0,178,16,11,121,0,0,228,3,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20111201,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,71,0,0,30,0,0,153,0,0,5,5,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20120101,9999,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,20,0,0,9999,0,0,26,0,0,0,3,2,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20120201,9999,0,0,3,0,0,2,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,132,0,0,9999,0,0,315,0,0,0,7,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20120301,9999,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,10,0,0,9999,0,0,24,0,0,0,5,2,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20120401,9999,0,0,4,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,69,0,0,9999,0,0,262,0,0,0,7,2,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20120501,9999,0,0,5,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,183,0,0,9999,0,0,531,0,0,0,10,6,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20120601,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,38,0,0,9999,0,0,98,0,0,0,6,3,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
