speciesid,species_code,group,order,family,genus,species,subtype,subtype_name,lifeform
2726,Ind_mon,Angiosperms,Fabales,Fabaceae,Indigofera,monophylla,,,shrub
2826,Lup_per,Angiosperms,Fabales,Fabaceae,Lupinus,perennis,,,forb
2851,Med_fal,Angiosperms,Fabales,Fabaceae,Medicago,falcata,,,forb
2861,Med_sat,Angiosperms,Fabales,Fabaceae,Medicago,sativa,,,forb
2887,Ono_vic,Angiosperms,Fabales,Fabaceae,Onobrychis,viciifolia,,,forb
3010,The_rho,Angiosperms,Fabales,Fabaceae,Thermopsis,rhombifolia,,,forb
3082,Vic_sat,Angiosperms,Fabales,Fabaceae,Vicia,sativa,,,forb
4275,Lin_lew,Angiosperms,Malpighiales,Linaceae,Linum,lewisii,,,forb
4276,Lin_per,Angiosperms,Malpighiales,Linaceae,Linum,perenne,,,forb
4575,Sph_coc,Angiosperms,Malvales,Malvaceae,Sphaeralcea,coccinea,,,forb
5317,Agr_des,Angiosperms,Poales,Poaceae,Agropyron,desertorum,,,grass
5318,Agr_fra,Angiosperms,Poales,Poaceae,Agropyron,fragile,,,grass
5415,Bou_ari,Angiosperms,Poales,Poaceae,Bouteloua,aristidoides,,,grass
5416,Bou_cur,Angiosperms,Poales,Poaceae,Bouteloua,curtipendula,,,grass
5472,Bro_tec,Angiosperms,Poales,Poaceae,Bromus,tectorum,,,grass
5485,Cal_lon,Angiosperms,Poales,Poaceae,Calamovilfa,longifolia,,,grass
5568,Ely_can,Angiosperms,Poales,Poaceae,Elymus,canadensis,,,grass
5573,Ely_ely,Angiosperms,Poales,Poaceae,Elymus,elymoides,,,grass
5577,Ely_lan,Angiosperms,Poales,Poaceae,Elymus,lanceolatus,,,grass
5582,Ely_smi,Angiosperms,Poales,Poaceae,Elymus,smithii,,,grass
5583,Ely_spi,Angiosperms,Poales,Poaceae,Elymus,spicatus,,,grass
5585,Ely_tra,Angiosperms,Poales,Poaceae,Elymus,trachycaulus,,,grass
5588,Ely_waw,Angiosperms,Poales,Poaceae,Elymus,wawawaiensis,,,grass
5644,Fes_ovi,Angiosperms,Poales,Poaceae,Festuca,ovina,,,grass
5698,Koe_mac,Angiosperms,Poales,Poaceae,Koeleria,macrantha,,,grass
5707,Ley_cin,Angiosperms,Poales,Poaceae,Leymus,cinereus,,,grass
5763,Nas_vir,Angiosperms,Poales,Poaceae,Nassella,viridula,,,grass
5765,Ory_hym,Angiosperms,Poales,Poaceae,Oryzopsis,hymenoides,,,grass
5801,Pan_vir,Angiosperms,Poales,Poaceae,Panicum,virgatum,,,grass
5881,Pse_rup,Angiosperms,Poales,Poaceae,Pseudosclerochloa,rupestris,,,grass
5901,Sch_sco,Angiosperms,Poales,Poaceae,Schizachyrium,scoparium,,,grass
5932,Spo_air,Angiosperms,Poales,Poaceae,Sporobolus,airoides,,,grass
5938,Spo_cry,Angiosperms,Poales,Poaceae,Sporobolus,cryptandrus,,,grass
5952,Sti_com,Angiosperms,Poales,Poaceae,Stipa,comata,,,grass
5985,Tri_epa,Angiosperms,Poales,Poaceae,Triodia,epactia,,,grass
5986,Tri_wis,Angiosperms,Poales,Poaceae,Triodia,wiseana,,,grass
6282,Ame_arb,Angiosperms,Rosales,Rosaceae,Amelanchier,arborea,,,shrub
6402,Ros_woo,Angiosperms,Rosales,Rosaceae,Rosa,woodsii,,,shrub
6517,Rhu_tri,Angiosperms,Sapindales,Anacardiaceae,Rhus,trilobata,,,shrub
7042,Jun_com,Gymnosperms,Pinales,Cupressaceae,Juniperus,communis,,,tree
7067,Pin_pon,Gymnosperms,Pinales,Pinaceae,Pinus,ponderosa,,,tree
7156,L_Pgrass,,,,Unknown,Pgrass,,,grass
