treatmentid,year,month,day,weeks_since_restoration,other_treatment,shelter,grading,maintenance_fire,notes
352,2003,11,13,0,,,yes,,
36,2016,1,,1,,,,,
393,2001,11,5,0,,,yes,,
287,2000,4,,0,,,yes,,
362,2004,4,25,0,,,yes,,
221,2001,11,4,0,,,yes,,
102,2008,2,7,12,,,,,
167,2007,11,28,0,,,,,
312,2011,4,,0,,,yes,,
158,2007,11,2,0,,,,,
277,2002,11,,0,,,yes,,
290,2006,10,1,0,,,yes,,
300,2011,4,,0,,,yes,,
118,2007,12,13,4,,,,,
284,1998,11,,0,,,yes,,
265,1997,10,,0,,,yes,,
317,2004,11,9,0,,,yes,,
342,1999,11,27,0,,,yes,,
111,2008,1,10,8,,,,,
16,2016,1,,1,,,,,
207,2009,11,,0,,,,,
62,2008,3,17,16,,,,,
123,2008,2,21,14,,,,,
126,2007,11,2,0,,,,,
194,2008,3,5,14,,,,,
326,1999,11,27,0,,,yes,TRUE,
360,1994,10,15,0,,,yes,,
385,2010,11,5,0,,,yes,,
371,2000,5,20,0,,,yes,,
99,2007,12,27,6,,,,,
367,2010,11,6,0,,,yes,,
374,2006,5,3,0,,,yes,TRUE,
41,2007,11,28,0,,,,,experimental control; no treatments applied; no seed added
206,2008,11,,0,,,,,
46,2007,12,10,2,,,,,
365,2009,12,9,0,,,yes,,
224,2001,11,2,0,,,yes,,
157,2008,2,22,16,,,,,
53,2008,3,17,16,,,,,
32,2016,1,,1,,,,,
336,2003,11,12,0,,,yes,,
318,2005,4,16,0,,,yes,TRUE,
275,2003,11,13,0,,,yes,TRUE,
247,2004,4,22,0,,,yes,,
260,2001,11,9,0,,,yes,,
308,2005,4,16,0,,,yes,TRUE,
183,2008,3,5,14,,,,,
100,2008,1,10,8,,,,,
313,1995,,,0,,,yes,,
136,2008,2,8,14,,,,,
150,2007,11,16,2,,,,,
354,2003,11,14,0,,,yes,,
139,2007,11,16,2,,,,,
140,2007,11,30,4,,,,,
12,2016,1,,1,,,,,
248,2004,4,15,0,,,yes,TRUE,
137,2008,2,22,16,,,,,
208,1995,,,0,,,yes,,
293,2009,11,,0,,,yes,,
392,2001,11,5,0,,,yes,,
24,2016,1,,1,,,,,
191,2008,1,23,8,,,,,
25,2016,1,,0,,,yes,,
94,2008,2,21,14,,,,,
122,2008,2,7,12,,,,,
141,2007,12,14,6,,,,,
218,2000,11,6,0,,,yes,,
154,2008,1,11,10,,,,,
234,2002,11,5,0,,,yes,,
49,2008,1,21,8,,,,,
211,2000,,,0,,,yes,,
316,2004,11,9,0,,,yes,TRUE,
256,2000,,,0,,,yes,,
332,2005,4,16,0,,,yes,TRUE,
33,2016,1,,0,,,yes,,
264,2005,4,16,0,,,yes,TRUE,
185,2007,11,28,0,,,,,
64,2007,11,26,0,,,,,
215,2000,11,6,0,,,yes,,
380,2006,5,5,0,,,yes,TRUE,
55,2007,12,10,2,,,,,
130,2007,11,16,2,,,,,
148,2007,11,2,0,,,,,
270,1995,11,,0,,,yes,,
23,2016,1,,0,,,yes,,
