veg_resultid,areaid,time_since_restoration,year,month,day,speciesid,cultivarid,individualid,origin,level,response,metric,notes
72,72,6,2016,,,5985,,,native,species,242,density,
73,73,6,2016,,,5985,,,native,species,175,density,
74,74,6,2016,,,2726,,,native,species,113,density,
75,75,6,2016,,,2726,,,native,species,165,density,
76,76,6,2016,,,2726,,,native,species,170,density,
77,77,6,2016,,,2726,,,native,species,181,density,
78,78,6,2016,,,2435,,,native,species,250,density,
79,79,6,2016,,,2435,,,native,species,242,density,
80,80,6,2016,,,5986,,,native,species,230,density,
81,81,6,2016,,,2435,,,native,species,274,density,
82,82,6,2016,,,2435,,,native,species,433,density,
83,83,6,2016,,,2437,,,native,species,316,density,
84,84,6,2016,,,2437,,,native,species,320,density,
85,85,6,2016,,,2437,,,native,species,348,density,
86,86,6,2016,,,2437,,,native,species,396,density,
87,87,6,2016,,,2437,,,native,species,378,density,
88,88,6,2016,,,5985,,,native,species,209,density,
89,89,6,2016,,,2437,,,native,species,381,density,
90,90,6,2016,,,2726,,,native,species,94,density,
91,91,6,2016,,,5985,,,native,species,185,density,
92,92,6,2016,,,5986,,,native,species,177,density,
93,93,6,2016,,,2726,,,native,species,157,density,
94,94,6,2016,,,5985,,,native,species,185,density,
95,95,6,2016,,,5985,,,native,species,187,density,
96,96,6,2016,,,2726,,,native,species,19,density,
97,97,6,2016,,,5985,,,native,species,109,density,
98,98,6,2016,,,5986,,,native,species,61,density,
99,99,6,2016,,,2726,,,native,species,40,density,
100,100,6,2016,,,5985,,,native,species,77,density,
101,101,6,2016,,,2726,,,native,species,89,density,
102,102,6,2016,,,5986,,,native,species,120,density,
103,103,6,2016,,,5986,,,native,species,88,density,
104,104,6,2016,,,5985,,,native,species,115,density,
105,105,6,2016,,,5986,,,native,species,115,density,
106,106,6,2016,,,5985,,,native,species,126,density,
107,107,6,2016,,,2435,,,native,species,154,density,
108,108,6,2016,,,2435,,,native,species,114,density,
109,109,6,2016,,,5986,,,native,species,117,density,
110,110,6,2016,,,5985,,,native,species,119,density,
111,111,6,2016,,,2435,,,native,species,103,density,
112,112,6,2016,,,2435,,,native,species,181,density,
113,113,6,2016,,,2437,,,native,species,60,density,
114,114,6,2016,,,2437,,,native,species,168,density,
115,115,6,2016,,,2437,,,native,species,243,density,
116,116,6,2016,,,2437,,,native,species,225,density,
117,117,6,2016,,,2437,,,native,species,244,density,
118,118,6,2016,,,2726,,,native,species,23,density,
119,119,6,2016,,,2437,,,native,species,320,density,
120,120,6,2016,,,2726,,,native,species,47,density,
121,121,6,2016,,,2726,,,native,species,94,density,
122,122,6,2016,,,5986,,,native,species,103,density,
123,123,6,2016,,,2435,,,native,species,72,density,
124,124,6,2016,,,2435,,,native,species,119,density,
125,125,6,2016,,,5985,,,native,species,130,density,
126,126,6,2016,,,2435,,,native,species,28,density,
127,127,6,2016,,,5986,,,native,species,169,density,
128,128,6,2016,,,2435,,,native,species,79,density,
129,129,6,2016,,,5985,,,native,species,164,density,
130,130,6,2016,,,2435,,,native,species,124,density,
131,131,6,2016,,,2726,,,native,species,81,density,
132,132,6,2016,,,5985,,,native,species,145,density,
133,133,6,2016,,,5986,,,native,species,150,density,
134,134,6,2016,,,5985,,,native,species,155,density,
135,135,6,2016,,,5985,,,native,species,190,density,
136,136,6,2016,,,5986,,,native,species,208,density,
137,137,6,2016,,,2726,,,native,species,121,density,
138,138,6,2016,,,5986,,,native,species,204,density,
139,139,6,2016,,,5986,,,native,species,127,density,
140,140,6,2016,,,5985,,,native,species,182,density,
141,141,6,2016,,,5985,,,native,species,205,density,
142,142,6,2016,,,5986,,,native,species,176,density,
143,143,6,2016,,,2437,,,native,species,91,density,
144,144,6,2016,,,2437,,,native,species,102,density,
145,145,6,2016,,,2437,,,native,species,110,density,
146,146,6,2016,,,2437,,,native,species,104,density,
147,147,6,2016,,,2437,,,native,species,122,density,
148,148,6,2016,,,2726,,,native,species,77,density,
149,149,6,2016,,,2437,,,native,species,181,density,
150,150,6,2016,,,2726,,,native,species,95,density,
151,151,6,2016,,,2726,,,native,species,46,density,
152,152,6,2016,,,2726,,,native,species,53,density,
153,153,6,2016,,,2435,,,native,species,63,density,
154,154,6,2016,,,2435,,,native,species,29,density,
155,155,6,2016,,,2435,,,native,species,39,density,
156,156,6,2016,,,2726,,,native,species,131,density,
157,157,6,2016,,,5985,,,native,species,176,density,
158,158,6,2016,,,5986,,,native,species,206,density,
159,159,6,2016,,,5986,,,native,species,183,density,
160,160,6,2016,,,5985,,,native,species,194,density,
161,161,6,2016,,,5986,,,native,species,122,density,
162,162,6,2016,,,2437,,,native,species,279,density,
163,163,6,2016,,,2726,,,native,species,50,density,
164,164,6,2016,,,2726,,,native,species,114,density,
165,165,6,2016,,,5985,,,native,species,169,density,
166,166,6,2016,,,5986,,,native,species,128,density,
167,167,6,2016,,,2726,,,native,species,72,density,
168,168,6,2016,,,5985,,,native,species,159,density,
169,169,6,2016,,,5986,,,native,species,186,density,
170,170,6,2016,,,2435,,,native,species,231,density,
171,171,6,2016,,,5986,,,native,species,163,density,
172,172,6,2016,,,2435,,,native,species,273,density,
173,173,6,2016,,,2435,,,native,species,226,density,
174,174,6,2016,,,2437,,,native,species,287,density,
175,175,6,2016,,,2437,,,native,species,315,density,
176,176,6,2016,,,2437,,,native,species,302,density,
177,177,6,2016,,,2437,,,native,species,321,density,
178,178,6,2016,,,2726,,,native,species,58,density,
179,179,6,2016,,,2437,,,native,species,395,density,
180,180,6,2016,,,2435,,,native,species,163,density,
181,181,6,2016,,,2726,,,native,species,90,density,
182,182,6,2016,,,5985,,,native,species,192,density,
183,183,6,2016,,,2435,,,native,species,214,density,
184,184,6,2016,,,2435,,,native,species,238,density,
185,185,6,2016,,,5985,,,native,species,148,density,
186,186,6,2016,,,2726,,,native,species,15,density,
187,187,6,2016,,,2435,,,native,species,70,density,
188,188,6,2016,,,2435,,,native,species,100,density,
189,189,6,2016,,,2726,,,native,species,73,density,
190,190,6,2016,,,5985,,,native,species,158,density,
191,191,6,2016,,,2435,,,native,species,152,density,
192,192,6,2016,,,2435,,,native,species,146,density,
193,193,6,2016,,,5985,,,native,species,206,density,
194,194,6,2016,,,2435,,,native,species,190,density,
195,195,6,2016,,,5986,,,native,species,183,density,
196,196,6,2016,,,5986,,,native,species,200,density,
197,197,6,2016,,,2726,,,native,species,127,density,
198,198,6,2016,,,5985,,,native,species,206,density,
199,199,6,2016,,,5985,,,native,species,201,density,
200,200,6,2016,,,2435,,,native,species,209,density,
201,201,6,2016,,,5985,,,native,species,123,density,
202,202,6,2016,,,5986,,,native,species,193,density,
203,203,6,2016,,,2437,,,native,species,119,density,
204,204,6,2016,,,5986,,,native,species,203,density,
205,205,6,2016,,,2437,,,native,species,128,density,
206,206,6,2016,,,2437,,,native,species,217,density,
207,207,6,2016,,,2437,,,native,species,212,density,
208,208,6,2016,,,2726,,,native,species,65,density,
209,209,6,2016,,,2437,,,native,species,245,density,
210,210,6,2016,,,2726,,,native,species,72,density,
211,211,6,2016,,,5986,,,native,species,232,density,
212,212,6,2016,,,5986,,,native,species,200,density,
213,213,6,2016,,,5985,,,native,species,181,density,
214,214,6,2016,,,2437,,,native,species,194,density,
215,215,6,2016,,,2726,,,native,species,34,density,
216,216,6,2016,,,5985,,,native,species,36,density,
217,217,6,2016,,,2435,,,native,species,0,density,
218,218,6,2016,,,2726,,,native,species,0,density,
219,219,6,2016,,,2726,,,native,species,12,density,
220,220,6,2016,,,5985,,,native,species,32,density,
221,221,6,2016,,,2435,,,native,species,26,density,
222,222,6,2016,,,5986,,,native,species,45,density,
223,223,6,2016,,,5986,,,native,species,70,density,
224,224,6,2016,,,2437,,,native,species,39,density,
225,225,6,2016,,,2726,,,native,species,68,density,
226,226,6,2016,,,5985,,,native,species,123,density,
227,227,6,2016,,,5985,,,native,species,158,density,
228,228,6,2016,,,2435,,,native,species,98,density,
229,229,6,2016,,,2726,,,native,species,93,density,
230,230,6,2016,,,5986,,,native,species,139,density,
231,231,6,2016,,,5986,,,native,species,245,density,
232,232,6,2016,,,5985,,,native,species,135,density,
233,233,6,2016,,,5986,,,native,species,135,density,
234,234,6,2016,,,2435,,,native,species,210,density,
235,235,6,2016,,,2437,,,native,species,100,density,
236,236,6,2016,,,2437,,,native,species,225,density,
237,237,6,2016,,,2437,,,native,species,233,density,
238,238,6,2016,,,5985,,,native,species,119,density,
239,239,6,2016,,,2437,,,native,species,90,density,
240,240,6,2016,,,2437,,,native,species,356,density,
241,241,6,2016,,,5986,,,native,species,206,density,
242,242,6,2016,,,2726,,,native,species,25,density,
243,243,6,2016,,,2726,,,native,species,42,density,
244,244,6,2016,,,5986,,,native,species,185,density,
245,245,6,2016,,,2435,,,native,species,172,density,
246,246,6,2016,,,2435,,,native,species,192,density,
247,247,6,2016,,,2435,,,native,species,29,density,
248,248,6,2016,,,5985,,,native,species,71,density,
249,249,6,2016,,,2726,,,native,species,0,density,
250,250,6,2016,,,5985,,,native,species,14,density,
251,251,6,2016,,,2435,,,native,species,2,density,
252,252,6,2016,,,5985,,,native,species,1,density,
253,253,6,2016,,,5985,,,native,species,3,density,
254,254,6,2016,,,2435,,,native,species,6,density,
255,255,6,2016,,,5985,,,native,species,6,density,
256,256,6,2016,,,2435,,,native,species,8,density,
257,257,6,2016,,,2726,,,native,species,9,density,
258,258,6,2016,,,2726,,,native,species,40,density,
259,259,6,2016,,,5986,,,native,species,16,density,
260,260,6,2016,,,5986,,,native,species,92,density,
261,261,6,2016,,,2435,,,native,species,31,density,
262,262,6,2016,,,5986,,,native,species,16,density,
263,263,6,2016,,,2726,,,native,species,16,density,
264,264,6,2016,,,2437,,,native,species,6,density,
265,265,6,2016,,,2437,,,native,species,7,density,
266,266,6,2016,,,5986,,,native,species,25,density,
267,267,6,2016,,,2726,,,native,species,16,density,
268,268,6,2016,,,2437,,,native,species,12,density,
269,269,6,2016,,,2726,,,native,species,0,density,
270,270,6,2016,,,2435,,,native,species,26,density,
271,271,6,2016,,,5986,,,native,species,59,density,
272,272,6,2016,,,5985,,,native,species,58,density,
273,273,6,2016,,,2435,,,native,species,43,density,
274,274,6,2016,,,5986,,,native,species,92,density,
275,275,6,2016,,,5985,,,native,species,97,density,
276,276,6,2016,,,2437,,,native,species,28,density,
277,277,6,2016,,,2437,,,native,species,41,density,
278,278,6,2016,,,2437,,,native,species,58,density,
279,279,6,2016,,,2437,,,native,species,106,density,
280,280,6,2016,,,2726,,,native,species,0,density,
281,281,6,2016,,,2437,,,native,species,116,density,
282,282,6,2016,,,5986,,,native,species,2,density,
283,283,6,2016,,,2726,,,native,species,9,density,
284,284,6,2016,,,5986,,,native,species,13,density,
285,285,6,2016,,,5985,,,native,species,18,density,
286,286,6,2016,,,2435,,,native,species,38,density,
287,287,6,2016,,,2435,,,native,species,35,density,
288,288,6,2016,,,5986,,,native,species,20,density,
289,289,6,2016,,,2435,,,native,species,36,density,
290,290,6,2016,,,2435,,,native,species,54,density,
291,291,6,2016,,,5985,,,native,species,186,density,
292,292,6,2016,,,2435,,,native,species,125,density,
293,293,6,2016,,,5985,,,native,species,14,density,
294,294,6,2016,,,5985,,,native,species,15,density,
295,295,6,2016,,,5986,,,native,species,33,density,
296,296,6,2016,,,5985,,,native,species,82,density,
297,297,6,2016,,,5986,,,native,species,109,density,
298,298,6,2016,,,2726,,,native,species,2,density,
299,299,6,2016,,,5986,,,native,species,102,density,
300,300,6,2016,,,5985,,,native,species,142,density,
301,301,6,2016,,,5986,,,native,species,177,density,
302,302,6,2016,,,2437,,,native,species,41,density,
303,303,6,2016,,,2437,,,native,species,36,density,
304,304,6,2016,,,5985,,,native,species,180,density,
305,305,6,2016,,,5986,,,native,species,189,density,
306,306,6,2016,,,2437,,,native,species,112,density,
307,307,6,2016,,,2437,,,native,species,153,density,
308,308,6,2016,,,2437,,,native,species,148,density,
309,309,6,2016,,,2435,,,native,species,25,density,
310,310,6,2016,,,2437,,,native,species,187,density,
311,311,6,2016,,,2726,,,native,species,35,density,
312,312,6,2016,,,2726,,,native,species,49,density,
313,313,6,2016,,,2435,,,native,species,28,density,
314,314,6,2016,,,2726,,,native,species,44,density,
315,315,6,2016,,,2726,,,native,species,1,density,
316,316,6,2016,,,2726,,,native,species,12,density,
317,317,6,2016,,,2726,,,native,species,99,density,
318,318,6,2016,,,2435,,,native,species,0,density,
319,319,6,2016,,,2437,,,native,species,0,density,
320,320,6,2016,,,2437,,,native,species,0,density,
321,321,6,2016,,,2726,,,native,species,0,density,
322,322,6,2016,,,5985,,,native,species,0,density,
323,323,6,2016,,,5985,,,native,species,0,density,
324,324,6,2016,,,5986,,,native,species,0,density,
325,325,6,2016,,,5986,,,native,species,0,density,
326,326,6,2016,,,2726,,,native,species,63,density,
327,327,6,2016,,,5986,,,native,species,73,density,
328,328,6,2016,,,2726,,,native,species,91,density,
329,329,6,2016,,,5986,,,native,species,114,density,
330,330,6,2016,,,5986,,,native,species,98,density,
331,331,6,2016,,,5986,,,native,species,133,density,
332,332,6,2016,,,2435,,,native,species,227,density,
333,333,6,2016,,,5985,,,native,species,137,density,
334,334,6,2016,,,2435,,,native,species,233,density,
335,335,6,2016,,,2437,,,native,species,236,density,
336,336,6,2016,,,2437,,,native,species,327,density,
337,337,6,2016,,,2437,,,native,species,336,density,
338,338,6,2016,,,2437,,,native,species,346,density,
339,339,6,2016,,,2726,,,native,species,116,density,
340,340,6,2016,,,2435,,,native,species,216,density,
341,341,6,2016,,,5985,,,native,species,93,density,
342,342,6,2016,,,5985,,,native,species,151,density,
343,343,6,2016,,,2435,,,native,species,191,density,
344,344,6,2016,,,5985,,,native,species,172,density,
345,345,6,2016,,,2435,,,native,species,0,density,
346,346,6,2016,,,2726,,,native,species,37,density,
347,347,6,2016,,,2435,,,native,species,166,density,
348,348,6,2016,,,2726,,,native,species,26,density,
349,349,6,2016,,,2726,,,native,species,39,density,
350,350,6,2016,,,5985,,,native,species,49,density,
351,351,6,2016,,,5986,,,native,species,139,density,
352,352,6,2016,,,5985,,,native,species,161,density,
353,353,6,2016,,,2726,,,native,species,39,density,
354,354,6,2016,,,5986,,,native,species,90,density,
355,355,6,2016,,,5986,,,native,species,129,density,
356,356,6,2016,,,5985,,,native,species,127,density,
357,357,6,2016,,,5986,,,native,species,111,density,
358,358,6,2016,,,2435,,,native,species,108,density,
359,359,6,2016,,,5986,,,native,species,166,density,
360,360,6,2016,,,5985,,,native,species,164,density,
361,361,6,2016,,,2435,,,native,species,127,density,
362,362,6,2016,,,5985,,,native,species,173,density,
363,363,6,2016,,,2437,,,native,species,225,density,
364,364,6,2016,,,2437,,,native,species,326,density,
365,365,6,2016,,,2437,,,native,species,343,density,
366,366,6,2016,,,2437,,,native,species,381,density,
367,367,6,2016,,,2437,,,native,species,355,density,
368,368,6,2016,,,2726,,,native,species,21,density,
369,369,6,2016,,,2437,,,native,species,379,density,
370,370,6,2016,,,2726,,,native,species,28,density,
371,371,6,2016,,,2435,,,native,species,125,density,
372,372,6,2016,,,5985,,,native,species,114,density,
373,373,6,2016,,,5986,,,native,species,115,density,
374,374,6,2016,,,2435,,,native,species,103,density,
375,375,6,2016,,,2435,,,native,species,175,density,
376,376,6,2016,,,5985,,,native,species,8,density,
377,377,6,2016,,,2435,,,native,species,0,density,
378,378,6,2016,,,2726,,,native,species,0,density,
379,379,6,2016,,,5985,,,native,species,2,density,
380,380,6,2016,,,5986,,,native,species,7,density,
381,381,6,2016,,,2435,,,native,species,9,density,
382,382,6,2016,,,2726,,,native,species,15,density,
383,383,6,2016,,,2437,,,native,species,21,density,
384,384,6,2016,,,2726,,,native,species,42,density,
385,385,6,2016,,,2435,,,native,species,86,density,
386,386,6,2016,,,2435,,,native,species,94,density,
387,387,6,2016,,,2726,,,native,species,36,density,
388,388,6,2016,,,2435,,,native,species,93,density,
389,389,6,2016,,,2437,,,native,species,40,density,
390,390,6,2016,,,5985,,,native,species,146,density,
391,391,6,2016,,,5986,,,native,species,127,density,
392,392,6,2016,,,5986,,,native,species,206,density,
393,393,6,2016,,,5985,,,native,species,158,density,
394,394,6,2016,,,2437,,,native,species,157,density,
395,395,6,2016,,,2437,,,native,species,152,density,
396,396,6,2016,,,2437,,,native,species,213,density,
397,397,6,2016,,,2437,,,native,species,244,density,
398,398,6,2016,,,5986,,,native,species,178,density,
399,399,6,2016,,,2726,,,native,species,0,density,
400,400,6,2016,,,5986,,,native,species,18,density,
401,401,6,2016,,,2726,,,native,species,23,density,
402,402,6,2016,,,2435,,,native,species,75,density,
403,403,6,2016,,,5985,,,native,species,150,density,
404,404,6,2016,,,5986,,,native,species,138,density,
405,405,6,2016,,,5985,,,native,species,143,density,
406,406,6,2016,,,2726,,,native,species,86,density,
407,407,6,2016,,,2726,,,native,species,109,density,
408,408,6,2016,,,5986,,,native,species,97,density,
409,409,6,2016,,,5985,,,native,species,100,density,
410,410,6,2016,,,5985,,,native,species,199,density,
411,411,6,2016,,,2435,,,native,species,112,density,
412,412,6,2016,,,2437,,,native,species,25,density,
413,413,6,2016,,,5986,,,native,species,217,density,
414,414,6,2016,,,2726,,,native,species,71,density,
415,415,6,2016,,,5985,,,native,species,82,density,
416,416,6,2016,,,2435,,,native,species,60,density,
417,417,6,2016,,,2726,,,native,species,87,density,
418,418,6,2016,,,5985,,,native,species,89,density,
419,419,6,2016,,,2435,,,native,species,72,density,
420,420,6,2016,,,5986,,,native,species,103,density,
421,421,6,2016,,,5986,,,native,species,112,density,
422,422,6,2016,,,5986,,,native,species,109,density,
423,423,6,2016,,,5985,,,native,species,141,density,
424,424,6,2016,,,5986,,,native,species,149,density,
425,425,6,2016,,,2437,,,native,species,114,density,
426,426,6,2016,,,2437,,,native,species,102,density,
427,427,6,2016,,,2437,,,native,species,135,density,
428,428,6,2016,,,2726,,,native,species,87,density,
429,429,6,2016,,,2437,,,native,species,206,density,
430,430,6,2016,,,2435,,,native,species,143,density,
431,431,6,2016,,,2437,,,native,species,158,density,
432,432,6,2016,,,2726,,,native,species,80,density,
433,433,6,2016,,,2435,,,native,species,99,density,
434,434,6,2016,,,2435,,,native,species,89,density,
435,435,6,2016,,,5985,,,native,species,152,density,
436,436,6,2016,,,2435,,,native,species,264,density,
437,437,6,2016,,,5985,,,native,species,136,density,
438,438,6,2016,,,2726,,,native,species,64,density,
439,439,6,2016,,,5985,,,native,species,161,density,
440,440,6,2016,,,2726,,,native,species,61,density,
441,441,6,2016,,,5986,,,native,species,125,density,
442,442,6,2016,,,5986,,,native,species,133,density,
443,443,6,2016,,,5985,,,native,species,106,density,
444,444,6,2016,,,2435,,,native,species,259,density,
445,445,6,2016,,,2435,,,native,species,274,density,
446,446,6,2016,,,5986,,,native,species,93,density,
447,447,6,2016,,,2726,,,native,species,61,density,
448,448,6,2016,,,5985,,,native,species,131,density,
449,449,6,2016,,,5985,,,native,species,154,density,
450,450,6,2016,,,5986,,,native,species,146,density,
451,451,6,2016,,,5986,,,native,species,151,density,
452,452,6,2016,,,5986,,,native,species,122,density,
453,453,6,2016,,,2437,,,native,species,348,density,
454,454,6,2016,,,2437,,,native,species,337,density,
455,455,6,2016,,,2437,,,native,species,321,density,
456,456,6,2016,,,2437,,,native,species,382,density,
457,457,6,2016,,,2437,,,native,species,420,density,
458,458,6,2016,,,2435,,,native,species,218,density,
459,459,6,2016,,,2437,,,native,species,310,density,
460,460,6,2016,,,2435,,,native,species,197,density,
461,461,6,2016,,,2726,,,native,species,59,density,
462,462,6,2016,,,2726,,,native,species,57,density,
463,463,6,2016,,,2726,,,native,species,69,density,
464,464,6,2016,,,2435,,,native,species,190,density,
465,465,6,2016,,,5985,,,native,species,116,density,
466,466,6,2016,,,2726,,,native,species,124,density,
467,467,6,2016,,,2435,,,native,species,222,density,
468,468,6,2016,,,5985,,,native,species,158,density,
469,469,6,2016,,,2435,,,native,species,279,density,
470,470,6,2016,,,5985,,,native,species,191,density,
471,471,6,2016,,,5985,,,native,species,215,density,
472,472,6,2016,,,5986,,,native,species,267,density,
473,473,6,2016,,,2435,,,native,species,223,density,
474,474,6,2016,,,5985,,,native,species,145,density,
475,475,6,2016,,,2437,,,native,species,239,density,
476,476,6,2016,,,5986,,,native,species,151,density,
477,477,6,2016,,,2726,,,native,species,61,density,
478,478,6,2016,,,5986,,,native,species,169,density,
479,479,6,2016,,,5985,,,native,species,149,density,
480,480,6,2016,,,5986,,,native,species,112,density,
481,481,6,2016,,,5986,,,native,species,174,density,
482,482,6,2016,,,5985,,,native,species,172,density,
483,483,6,2016,,,5986,,,native,species,181,density,
484,484,6,2016,,,2437,,,native,species,172,density,
485,485,6,2016,,,2437,,,native,species,256,density,
486,486,6,2016,,,2437,,,native,species,229,density,
487,487,6,2016,,,2437,,,native,species,236,density,
488,488,6,2016,,,2726,,,native,species,61,density,
489,489,6,2016,,,2437,,,native,species,267,density,
490,490,6,2016,,,2726,,,native,species,109,density,
491,491,6,2016,,,2435,,,native,species,174,density,
492,492,6,2016,,,2726,,,native,species,129,density,
493,493,6,2016,,,2435,,,native,species,203,density,
494,494,6,2016,,,2726,,,native,species,91,density,
495,495,6,2016,,,2435,,,native,species,178,density,
496,496,6,2016,,,2726,,,native,species,164,density,
497,497,6,2016,,,2726,,,native,species,143,density,
498,498,6,2016,,,5985,,,native,species,218,density,
499,499,6,2016,,,5986,,,native,species,199,density,
500,500,6,2016,,,5985,,,native,species,247,density,
501,501,6,2016,,,2726,,,native,species,140,density,
502,502,6,2016,,,5985,,,native,species,240,density,
503,503,6,2016,,,2435,,,native,species,276,density,
504,504,6,2016,,,2435,,,native,species,266,density,
505,505,6,2016,,,2435,,,native,species,288,density,
506,506,6,2016,,,5985,,,native,species,182,density,
507,507,6,2016,,,5985,,,native,species,149,density,
508,508,6,2016,,,2435,,,native,species,306,density,
509,509,6,2016,,,2435,,,native,species,292,density,
510,510,6,2016,,,5986,,,native,species,156,density,
511,511,6,2016,,,2726,,,native,species,162,density,
512,512,6,2016,,,2435,,,native,species,685,density,
513,513,6,2016,,,2437,,,native,species,238,density,
514,514,6,2016,,,2437,,,native,species,368,density,
515,515,6,2016,,,2437,,,native,species,380,density,
516,516,6,2016,,,2437,,,native,species,366,density,
517,517,6,2016,,,2437,,,native,species,419,density,
518,518,6,2016,,,2726,,,native,species,143,density,
519,519,6,2016,,,2437,,,native,species,419,density,
520,520,6,2016,,,2726,,,native,species,148,density,
521,521,6,2016,,,5986,,,native,species,163,density,
522,522,6,2016,,,5986,,,native,species,287,density,
523,523,6,2016,,,5986,,,native,species,275,density,
524,524,6,2016,,,5986,,,native,species,112,density,
525,525,6,2016,,,5985,,,native,species,293,density,
526,526,6,2016,,,2726,,,native,species,15,density,
527,527,6,2016,,,2726,,,native,species,34,density,
528,528,6,2016,,,5986,,,native,species,52,density,
529,529,6,2016,,,2726,,,native,species,29,density,
530,530,6,2016,,,2726,,,native,species,28,density,
531,531,6,2016,,,5986,,,native,species,63,density,
532,532,6,2016,,,5986,,,native,species,99,density,
533,533,6,2016,,,5986,,,native,species,105,density,
534,534,6,2016,,,5985,,,native,species,100,density,
535,535,6,2016,,,5985,,,native,species,140,density,
536,536,6,2016,,,5985,,,native,species,135,density,
537,537,6,2016,,,2435,,,native,species,130,density,
538,538,6,2016,,,5985,,,native,species,168,density,
539,539,6,2016,,,2435,,,native,species,141,density,
540,540,6,2016,,,2435,,,native,species,167,density,
541,541,6,2016,,,2435,,,native,species,202,density,
542,542,6,2016,,,2437,,,native,species,252,density,
543,543,6,2016,,,2437,,,native,species,275,density,
544,544,6,2016,,,2437,,,native,species,319,density,
545,545,6,2016,,,2437,,,native,species,329,density,
546,546,6,2016,,,2437,,,native,species,344,density,
547,547,6,2016,,,2437,,,native,species,347,density,
548,548,6,2016,,,2726,,,native,species,15,density,
549,549,6,2016,,,5986,,,native,species,137,density,
550,550,6,2016,,,2726,,,native,species,18,density,
551,551,6,2016,,,5986,,,native,species,71,density,
552,552,6,2016,,,2435,,,native,species,84,density,
553,553,6,2016,,,2435,,,native,species,128,density,
554,554,6,2016,,,5985,,,native,species,127,density,
555,555,6,2016,,,5985,,,native,species,128,density,
