seedingid,treatmentid,mix,speciesid,cultivarid,type,rate,unit,viability,origin,source,seed_distance,seed_mixid,notes
36,15,known,2435,,seeding,56.25,seeds/m2,,native,,,8,
37,15,known,2437,,seeding,62.5,seeds/m2,,native,,,8,
38,15,known,2726,,seeding,62.5,seeds/m2,,native,,,8,
39,15,known,5985,,seeding,62.5,seeds/m2,,native,,,8,
40,15,known,5986,,seeding,100,seeds/m2,,native,,,8,
41,17,known,2435,,seeding,56.25,seeds/m2,,native,,,9,
42,17,known,2437,,seeding,62.5,seeds/m2,,native,,,9,
43,17,known,2726,,seeding,62.5,seeds/m2,,native,,,9,
44,17,known,5985,,seeding,62.5,seeds/m2,,native,,,9,
45,17,known,5986,,seeding,100,seeds/m2,,native,,,9,
46,19,known,2435,,seeding,56.25,seeds/m2,,native,,,10,
47,19,known,2437,,seeding,62.5,seeds/m2,,native,,,10,
48,19,known,2726,,seeding,62.5,seeds/m2,,native,,,10,
49,19,known,5985,,seeding,62.5,seeds/m2,,native,,,10,
50,19,known,5986,,seeding,100,seeds/m2,,native,,,10,
51,21,known,2435,,seeding,56.25,seeds/m2,,native,,,11,
52,21,known,2437,,seeding,62.5,seeds/m2,,native,,,11,
53,21,known,2726,,seeding,62.5,seeds/m2,,native,,,11,
54,21,known,5985,,seeding,62.5,seeds/m2,,native,,,11,
55,21,known,5986,,seeding,100,seeds/m2,,native,,,11,
56,23,known,2435,,seeding,56.25,seeds/m2,,native,,,12,
57,23,known,2437,,seeding,62.5,seeds/m2,,native,,,12,
58,23,known,2726,,seeding,62.5,seeds/m2,,native,,,12,
59,23,known,5985,,seeding,62.5,seeds/m2,,native,,,12,
60,23,known,5986,,seeding,100,seeds/m2,,native,,,12,
61,25,known,2435,,seeding,56.25,seeds/m2,,native,,,13,
62,25,known,2437,,seeding,62.5,seeds/m2,,native,,,13,
63,25,known,2726,,seeding,62.5,seeds/m2,,native,,,13,
64,25,known,5985,,seeding,62.5,seeds/m2,,native,,,13,
65,25,known,5986,,seeding,100,seeds/m2,,native,,,13,
66,27,known,2435,,seeding,56.25,seeds/m2,,native,,,14,
67,27,known,2437,,seeding,62.5,seeds/m2,,native,,,14,
68,27,known,2726,,seeding,62.5,seeds/m2,,native,,,14,
69,27,known,5985,,seeding,62.5,seeds/m2,,native,,,14,
70,27,known,5986,,seeding,100,seeds/m2,,native,,,14,
71,29,known,2435,,seeding,56.25,seeds/m2,,native,,,15,
72,29,known,2437,,seeding,62.5,seeds/m2,,native,,,15,
73,29,known,2726,,seeding,62.5,seeds/m2,,native,,,15,
74,29,known,5985,,seeding,62.5,seeds/m2,,native,,,15,
75,29,known,5986,,seeding,100,seeds/m2,,native,,,15,
76,31,known,2435,,seeding,56.25,seeds/m2,,native,,,16,
77,31,known,2437,,seeding,62.5,seeds/m2,,native,,,16,
78,31,known,2726,,seeding,62.5,seeds/m2,,native,,,16,
79,31,known,5985,,seeding,62.5,seeds/m2,,native,,,16,
80,31,known,5986,,seeding,100,seeds/m2,,native,,,16,
81,33,known,2435,,seeding,56.25,seeds/m2,,native,,,17,
82,33,known,2437,,seeding,62.5,seeds/m2,,native,,,17,
83,33,known,2726,,seeding,62.5,seeds/m2,,native,,,17,
84,33,known,5985,,seeding,62.5,seeds/m2,,native,,,17,
85,33,known,5986,,seeding,100,seeds/m2,,native,,,17,
86,35,known,2435,,seeding,56.25,seeds/m2,,native,,,18,
87,35,known,2437,,seeding,62.5,seeds/m2,,native,,,18,
88,35,known,2726,,seeding,62.5,seeds/m2,,native,,,18,
89,35,known,5985,,seeding,62.5,seeds/m2,,native,,,18,
90,35,known,5986,,seeding,100,seeds/m2,,native,,,18,
91,37,known,2435,,seeding,56.25,seeds/m2,,native,,,19,
92,37,known,2437,,seeding,62.5,seeds/m2,,native,,,19,
93,37,known,2726,,seeding,62.5,seeds/m2,,native,,,19,
94,37,known,5985,,seeding,62.5,seeds/m2,,native,,,19,
95,37,known,5986,,seeding,100,seeds/m2,,native,,,19,
96,39,known,2435,,seeding,56.25,seeds/m2,,native,,,20,
97,39,known,2437,,seeding,62.5,seeds/m2,,native,,,20,
98,39,known,2726,,seeding,62.5,seeds/m2,,native,,,20,
99,39,known,5985,,seeding,62.5,seeds/m2,,native,,,20,
100,39,known,5986,,seeding,100,seeds/m2,,native,,,20,
101,43,known,387,,seeding,3,seeds/m2,PLS,native,,,21,
102,43,known,4276,,seeding,3,seeds/m2,PLS,exotic,,,21,
103,43,known,5317,,seeding,180,seeds/m2,PLS,exotic,,,21,
104,43,known,5583,,seeding,37,seeds/m2,PLS,native,,,21,
105,43,known,5707,,seeding,37,seeds/m2,PLS,native,,,21,
106,44,known,387,,seeding,3,seeds/m2,PLS,native,,,22,
107,44,known,4276,,seeding,3,seeds/m2,PLS,exotic,,,22,
108,44,known,5317,,seeding,180,seeds/m2,PLS,exotic,,,22,
109,44,known,5583,,seeding,37,seeds/m2,PLS,native,,,22,
110,44,known,5707,,seeding,37,seeds/m2,PLS,native,,,22,
111,45,known,387,,seeding,3,seeds/m2,PLS,native,,,23,
112,45,known,4276,,seeding,3,seeds/m2,PLS,exotic,,,23,
113,45,known,5317,,seeding,180,seeds/m2,PLS,exotic,,,23,
114,45,known,5583,,seeding,37,seeds/m2,PLS,native,,,23,
115,45,known,5707,,seeding,37,seeds/m2,PLS,native,,,23,
116,54,known,387,,seeding,3,seeds/m2,PLS,native,,,24,
117,54,known,4276,,seeding,3,seeds/m2,PLS,exotic,,,24,
118,54,known,5317,,seeding,180,seeds/m2,PLS,exotic,,,24,
119,54,known,5583,,seeding,37,seeds/m2,PLS,native,,,24,
120,54,known,5707,,seeding,37,seeds/m2,PLS,native,,,24,
121,63,known,387,,seeding,3,seeds/m2,PLS,native,,,25,
122,63,known,4276,,seeding,3,seeds/m2,PLS,exotic,,,25,
123,63,known,5317,,seeding,180,seeds/m2,PLS,exotic,,,25,
124,63,known,5583,,seeding,37,seeds/m2,PLS,native,,,25,
125,63,known,5707,,seeding,37,seeds/m2,PLS,native,,,25,
126,64,known,387,,seeding,3,seeds/m2,PLS,native,,,26,
127,64,known,4276,,seeding,3,seeds/m2,PLS,exotic,,,26,
128,64,known,5317,,seeding,180,seeds/m2,PLS,exotic,,,26,
129,64,known,5583,,seeding,37,seeds/m2,PLS,native,,,26,
130,64,known,5707,,seeding,37,seeds/m2,PLS,native,,,26,
131,65,known,387,,seeding,3,seeds/m2,PLS,native,,,27,
132,65,known,4276,,seeding,3,seeds/m2,PLS,exotic,,,27,
133,65,known,5317,,seeding,180,seeds/m2,PLS,exotic,,,27,
134,65,known,5583,,seeding,37,seeds/m2,PLS,native,,,27,
135,65,known,5707,,seeding,37,seeds/m2,PLS,native,,,27,
136,74,known,387,,seeding,3,seeds/m2,PLS,native,,,28,
137,74,known,4276,,seeding,3,seeds/m2,PLS,exotic,,,28,
138,74,known,5317,,seeding,180,seeds/m2,PLS,exotic,,,28,
139,74,known,5583,,seeding,37,seeds/m2,PLS,native,,,28,
140,74,known,5707,,seeding,37,seeds/m2,PLS,native,,,28,
141,84,known,387,,seeding,9,seeds/m2,PLS,native,,,29,
142,84,known,2826,,seeding,9,seeds/m2,PLS,native,,,29,
143,84,known,5317,,seeding,206,seeds/m2,PLS,exotic,,,29,
144,84,known,5582,,seeding,103,seeds/m2,PLS,native,,,29,
145,84,known,5583,,seeding,103,seeds/m2,PLS,native,,,29,
146,85,known,387,,seeding,4,seeds/m2,PLS,native,,,30,
147,85,known,4276,,seeding,4,seeds/m2,PLS,exotic,,,30,
148,85,known,5317,,seeding,159,seeds/m2,PLS,exotic,,,30,
149,85,known,5318,,seeding,81,seeds/m2,PLS,exotic,,,30,
150,85,known,5583,,seeding,81,seeds/m2,PLS,native,,,30,
151,85,known,5707,,seeding,41,seeds/m2,PLS,native,,,30,
152,86,known,387,,seeding,4,seeds/m2,PLS,native,,,31,
153,86,known,4276,,seeding,4,seeds/m2,PLS,exotic,,,31,
154,86,known,5317,,seeding,159,seeds/m2,PLS,exotic,,,31,
155,86,known,5318,,seeding,81,seeds/m2,PLS,exotic,,,31,
156,86,known,5583,,seeding,81,seeds/m2,PLS,native,,,31,
157,86,known,5707,,seeding,41,seeds/m2,PLS,native,,,31,
158,87,known,387,,seeding,4,seeds/m2,PLS,native,,,32,
159,87,known,4276,,seeding,4,seeds/m2,PLS,exotic,,,32,
160,87,known,5317,,seeding,159,seeds/m2,PLS,exotic,,,32,
161,87,known,5318,,seeding,81,seeds/m2,PLS,exotic,,,32,
162,87,known,5583,,seeding,81,seeds/m2,PLS,native,,,32,
163,87,known,5707,,seeding,41,seeds/m2,PLS,native,,,32,
164,96,known,387,,seeding,4,seeds/m2,PLS,native,,,33,
165,96,known,4276,,seeding,4,seeds/m2,PLS,exotic,,,33,
166,96,known,5317,,seeding,159,seeds/m2,PLS,exotic,,,33,
167,96,known,5318,,seeding,81,seeds/m2,PLS,exotic,,,33,
168,96,known,5583,,seeding,81,seeds/m2,PLS,native,,,33,
169,96,known,5707,,seeding,41,seeds/m2,PLS,native,,,33,
170,105,known,387,,seeding,4,seeds/m2,PLS,native,,,34,
171,105,known,4276,,seeding,4,seeds/m2,PLS,exotic,,,34,
172,105,known,5317,,seeding,159,seeds/m2,PLS,exotic,,,34,
173,105,known,5318,,seeding,81,seeds/m2,PLS,exotic,,,34,
174,105,known,5583,,seeding,81,seeds/m2,PLS,native,,,34,
175,105,known,5707,,seeding,41,seeds/m2,PLS,native,,,34,
176,106,known,387,,seeding,4,seeds/m2,PLS,native,,,35,
177,106,known,4276,,seeding,4,seeds/m2,PLS,exotic,,,35,
178,106,known,5317,,seeding,159,seeds/m2,PLS,exotic,,,35,
179,106,known,5318,,seeding,81,seeds/m2,PLS,exotic,,,35,
180,106,known,5583,,seeding,81,seeds/m2,PLS,native,,,35,
181,106,known,5707,,seeding,41,seeds/m2,PLS,native,,,35,
182,107,known,387,,seeding,4,seeds/m2,PLS,native,,,36,
183,107,known,4276,,seeding,4,seeds/m2,PLS,exotic,,,36,
184,107,known,5317,,seeding,159,seeds/m2,PLS,exotic,,,36,
185,107,known,5318,,seeding,81,seeds/m2,PLS,exotic,,,36,
186,107,known,5583,,seeding,81,seeds/m2,PLS,native,,,36,
187,107,known,5707,,seeding,41,seeds/m2,PLS,native,,,36,
188,116,known,387,,seeding,4,seeds/m2,PLS,native,,,37,
189,116,known,4276,,seeding,4,seeds/m2,PLS,exotic,,,37,
190,116,known,5317,,seeding,159,seeds/m2,PLS,exotic,,,37,
191,116,known,5318,,seeding,81,seeds/m2,PLS,exotic,,,37,
192,116,known,5583,,seeding,81,seeds/m2,PLS,native,,,37,
193,116,known,5707,,seeding,41,seeds/m2,PLS,native,,,37,
194,126,known,387,,seeding,3,seeds/m2,PLS,native,,,38,
195,126,known,5317,,seeding,117,seeds/m2,PLS,exotic,,,38,
196,126,known,5583,,seeding,117,seeds/m2,PLS,native,,,38,
197,126,known,5588,,seeding,34,seeds/m2,PLS,native,,,38,
198,126,known,5881,,seeding,37,seeds/m2,PLS,native,,,38,
199,127,known,387,,seeding,9,seeds/m2,PLS,native,,,39,
200,127,known,2826,,seeding,9,seeds/m2,PLS,native,,,39,
201,127,known,5317,,seeding,206,seeds/m2,PLS,exotic,,,39,
202,127,known,5582,,seeding,103,seeds/m2,PLS,native,,,39,
203,127,known,5583,,seeding,103,seeds/m2,PLS,native,,,39,
204,128,known,387,,seeding,3,seeds/m2,PLS,native,,,40,
205,128,known,5317,,seeding,117,seeds/m2,PLS,exotic,,,40,
206,128,known,5583,,seeding,117,seeds/m2,PLS,native,,,40,
207,128,known,5588,,seeding,34,seeds/m2,PLS,native,,,40,
208,128,known,5881,,seeding,37,seeds/m2,PLS,native,,,40,
209,129,known,387,,seeding,3,seeds/m2,PLS,native,,,41,
210,129,known,5317,,seeding,117,seeds/m2,PLS,exotic,,,41,
211,129,known,5583,,seeding,117,seeds/m2,PLS,native,,,41,
212,129,known,5588,,seeding,34,seeds/m2,PLS,native,,,41,
213,129,known,5881,,seeding,37,seeds/m2,PLS,native,,,41,
214,138,known,387,,seeding,3,seeds/m2,PLS,native,,,42,
215,138,known,5317,,seeding,117,seeds/m2,PLS,exotic,,,42,
216,138,known,5583,,seeding,117,seeds/m2,PLS,native,,,42,
217,138,known,5588,,seeding,34,seeds/m2,PLS,native,,,42,
218,138,known,5881,,seeding,37,seeds/m2,PLS,native,,,42,
219,147,known,387,,seeding,3,seeds/m2,PLS,native,,,43,
220,147,known,5317,,seeding,117,seeds/m2,PLS,exotic,,,43,
221,147,known,5583,,seeding,117,seeds/m2,PLS,native,,,43,
222,147,known,5588,,seeding,34,seeds/m2,PLS,native,,,43,
223,147,known,5881,,seeding,37,seeds/m2,PLS,native,,,43,
224,148,known,387,,seeding,3,seeds/m2,PLS,native,,,44,
225,148,known,5317,,seeding,117,seeds/m2,PLS,exotic,,,44,
226,148,known,5583,,seeding,117,seeds/m2,PLS,native,,,44,
227,148,known,5588,,seeding,34,seeds/m2,PLS,native,,,44,
228,148,known,5881,,seeding,37,seeds/m2,PLS,native,,,44,
229,149,known,387,,seeding,3,seeds/m2,PLS,native,,,45,
230,149,known,5317,,seeding,117,seeds/m2,PLS,exotic,,,45,
231,149,known,5583,,seeding,117,seeds/m2,PLS,native,,,45,
232,149,known,5588,,seeding,34,seeds/m2,PLS,native,,,45,
233,149,known,5881,,seeding,37,seeds/m2,PLS,native,,,45,
234,158,known,387,,seeding,3,seeds/m2,PLS,native,,,46,
235,158,known,5317,,seeding,117,seeds/m2,PLS,exotic,,,46,
236,158,known,5583,,seeding,117,seeds/m2,PLS,native,,,46,
237,158,known,5588,,seeding,34,seeds/m2,PLS,native,,,46,
238,158,known,5881,,seeding,37,seeds/m2,PLS,native,,,46,
239,167,known,387,,seeding,9,seeds/m2,PLS,native,,,47,
240,167,known,2826,,seeding,9,seeds/m2,PLS,native,,,47,
241,167,known,5317,,seeding,206,seeds/m2,PLS,exotic,,,47,
242,167,known,5582,,seeding,103,seeds/m2,PLS,native,,,47,
243,167,known,5583,,seeding,103,seeds/m2,PLS,native,,,47,
244,176,known,387,,seeding,9,seeds/m2,PLS,native,,,48,
245,176,known,2826,,seeding,9,seeds/m2,PLS,native,,,48,
246,176,known,5317,,seeding,206,seeds/m2,PLS,exotic,,,48,
247,176,known,5582,,seeding,103,seeds/m2,PLS,native,,,48,
248,176,known,5583,,seeding,103,seeds/m2,PLS,native,,,48,
249,185,known,387,,seeding,9,seeds/m2,PLS,native,,,49,
250,185,known,2826,,seeding,9,seeds/m2,PLS,native,,,49,
251,185,known,5317,,seeding,206,seeds/m2,PLS,exotic,,,49,
252,185,known,5582,,seeding,103,seeds/m2,PLS,native,,,49,
253,185,known,5583,,seeding,103,seeds/m2,PLS,native,,,49,
254,186,known,387,,seeding,9,seeds/m2,PLS,native,,,50,
255,186,known,2826,,seeding,9,seeds/m2,PLS,native,,,50,
256,186,known,5317,,seeding,206,seeds/m2,PLS,exotic,,,50,
257,186,known,5582,,seeding,103,seeds/m2,PLS,native,,,50,
258,186,known,5583,,seeding,103,seeds/m2,PLS,native,,,50,
259,187,known,387,,seeding,9,seeds/m2,PLS,native,,,51,
260,187,known,2826,,seeding,9,seeds/m2,PLS,native,,,51,
261,187,known,5317,,seeding,206,seeds/m2,PLS,exotic,,,51,
262,187,known,5582,,seeding,103,seeds/m2,PLS,native,,,51,
263,187,known,5583,,seeding,103,seeds/m2,PLS,native,,,51,
264,196,known,387,,seeding,9,seeds/m2,PLS,native,,,52,
265,196,known,2826,,seeding,9,seeds/m2,PLS,native,,,52,
266,196,known,5317,,seeding,206,seeds/m2,PLS,exotic,,,52,
267,196,known,5582,,seeding,103,seeds/m2,PLS,native,,,52,
268,196,known,5583,,seeding,103,seeds/m2,PLS,native,,,52,
269,205,known,5317,,seeding,500,seeds/m2,PLS,native,,,53,
270,205,known,5573,,seeding,500,seeds/m2,PLS,native,,,53,
271,205,known,5583,,seeding,500,seeds/m2,PLS,native,,,53,
272,206,known,5317,,seeding,350,seeds/m2,PLS,native,,,54,
273,206,known,5573,,seeding,650,seeds/m2,PLS,native,,,54,
274,206,known,5583,,seeding,650,seeds/m2,PLS,native,,,54,
275,207,known,5317,,seeding,350,seeds/m2,PLS,native,,,55,
276,207,known,5573,,seeding,650,seeds/m2,PLS,native,,,55,
277,207,known,5583,,seeding,650,seeds/m2,PLS,native,,,55,
278,208,known,387,,seeding,143,seeds/m2,PLS,native,,,56,
279,208,known,457,,seeding,7,seeds/m2,PLS,native,,,56,
280,208,known,2174,,seeding,5,seeds/m2,PLS,native,,,56,
281,208,known,2529,,seeding,33,seeds/m2,PLS,exotic,,,56,
282,208,known,2887,,seeding,18,seeds/m2,PLS,exotic,,,56,
283,208,known,5568,,seeding,25,seeds/m2,PLS,native,,,56,
284,208,known,5577,,seeding,87,seeds/m2,PLS,native,,,56,
285,208,known,5582,,seeding,171,seeds/m2,PLS,native,,,56,
286,208,known,5763,,seeding,79,seeds/m2,PLS,native,,,56,
287,208,known,6402,,seeding,3,seeds/m2,PLS,native,,,56,
288,209,known,387,,seeding,144,seeds/m2,PLS,native,,,57,
289,209,known,457,,seeding,11,seeds/m2,PLS,native,,,57,
290,209,known,465,,seeding,141,seeds/m2,PLS,native,,,57,
291,209,known,469,,seeding,102,seeds/m2,PLS,exotic,,,57,
292,209,known,484,,seeding,87,seeds/m2,PLS,native,,,57,
293,209,known,2041,,seeding,36,seeds/m2,PLS,native,,,57,
294,209,known,3082,,seeding,3,seeds/m2,PLS,exotic,,,57,
295,209,known,5415,,seeding,58,seeds/m2,PLS,native,,,57,
296,209,known,5568,,seeding,37,seeds/m2,PLS,native,,,57,
297,209,known,5582,,seeding,214,seeds/m2,PLS,native,,,57,
298,209,known,5585,,seeding,134,seeds/m2,PLS,native,,,57,
299,209,known,5707,,seeding,83,seeds/m2,PLS,native,,,57,
300,209,known,5763,,seeding,138,seeds/m2,PLS,native,,,57,
301,209,known,5801,,seeding,112,seeds/m2,PLS,native,,,57,
302,209,known,5881,,seeding,110,seeds/m2,PLS,native,,,57,
303,210,known,387,,seeding,82,seeds/m2,PLS,native,,,58,
304,210,known,457,,seeding,9,seeds/m2,PLS,native,,,58,
305,210,known,465,,seeding,65,seeds/m2,PLS,native,,,58,
306,210,known,469,,seeding,6,seeds/m2,PLS,exotic,,,58,
307,210,known,484,,seeding,40,seeds/m2,PLS,native,,,58,
308,210,known,2174,,seeding,8,seeds/m2,PLS,native,,,58,
309,210,known,2640,,seeding,10,seeds/m2,PLS,native,,,58,
310,210,known,5415,,seeding,59,seeds/m2,PLS,native,,,58,
311,210,known,5568,,seeding,29,seeds/m2,PLS,native,,,58,
312,210,known,5582,,seeding,120,seeds/m2,PLS,native,,,58,
313,210,known,5585,,seeding,47,seeds/m2,PLS,native,,,58,
314,210,known,5698,,seeding,14,seeds/m2,PLS,native,,,58,
315,210,known,5763,,seeding,27,seeds/m2,PLS,native,,,58,
316,210,known,5881,,seeding,40,seeds/m2,PLS,native,,,58,
317,210,known,5881,,seeding,51,seeds/m2,PLS,native,,,58,
318,210,known,6402,,seeding,7,seeds/m2,PLS,native,,,58,
319,211,known,387,,seeding,94,seeds/m2,PLS,native,,,59,
320,211,known,465,,seeding,204,seeds/m2,PLS,native,,,59,
321,211,known,469,,seeding,4,seeds/m2,PLS,exotic,,,59,
322,211,known,484,,seeding,56,seeds/m2,PLS,native,,,59,
323,211,known,689,,seeding,0,seeds/m2,PLS,native,,,59,
324,211,known,3010,,seeding,1,seeds/m2,PLS,native,,,59,
325,211,known,4575,,seeding,7,seeds/m2,PLS,native,,,59,
326,211,known,5415,,seeding,68,seeds/m2,PLS,native,,,59,
327,211,known,5416,,seeding,243,seeds/m2,PLS,native,,,59,
328,211,known,5573,,seeding,17,seeds/m2,PLS,native,,,59,
329,211,known,5582,,seeding,83,seeds/m2,PLS,native,,,59,
330,211,known,5583,,seeding,34,seeds/m2,PLS,native,,,59,
331,211,known,5763,,seeding,21,seeds/m2,PLS,native,,,59,
332,211,known,5901,,seeding,128,seeds/m2,PLS,native,,,59,
333,211,known,5952,,seeding,48,seeds/m2,PLS,native,,,59,
334,211,known,6517,,seeding,3,seeds/m2,PLS,native,,,59,
335,212,known,387,,seeding,94,seeds/m2,PLS,native,,,60,
336,212,known,465,,seeding,204,seeds/m2,PLS,native,,,60,
337,212,known,469,,seeding,4,seeds/m2,PLS,exotic,,,60,
338,212,known,484,,seeding,56,seeds/m2,PLS,native,,,60,
339,212,known,689,,seeding,0,seeds/m2,PLS,native,,,60,
340,212,known,3010,,seeding,1,seeds/m2,PLS,native,,,60,
341,212,known,4575,,seeding,7,seeds/m2,PLS,native,,,60,
342,212,known,5415,,seeding,68,seeds/m2,PLS,native,,,60,
343,212,known,5416,,seeding,243,seeds/m2,PLS,native,,,60,
344,212,known,5573,,seeding,17,seeds/m2,PLS,native,,,60,
345,212,known,5582,,seeding,83,seeds/m2,PLS,native,,,60,
346,212,known,5583,,seeding,34,seeds/m2,PLS,native,,,60,
347,212,known,5763,,seeding,21,seeds/m2,PLS,native,,,60,
348,212,known,5901,,seeding,128,seeds/m2,PLS,native,,,60,
349,212,known,5952,,seeding,48,seeds/m2,PLS,native,,,60,
350,212,known,6517,,seeding,3,seeds/m2,PLS,native,,,60,
351,213,known,387,,seeding,80,seeds/m2,PLS,native,,,61,
352,213,known,484,,seeding,58,seeds/m2,PLS,native,,,61,
353,213,known,1102,,seeding,5,seeds/m2,PLS,native,,,61,
354,213,known,1686,,seeding,13,seeds/m2,PLS,native,,,61,
355,213,known,1741,,seeding,9,seeds/m2,PLS,native,,,61,
356,213,known,2640,,seeding,10,seeds/m2,PLS,native,,,61,
357,213,known,2887,,seeding,11,seeds/m2,PLS,exotic,,,61,
358,213,known,5415,,seeding,59,seeds/m2,PLS,native,,,61,
359,213,known,5416,,seeding,136,seeds/m2,PLS,native,,,61,
360,213,known,5582,,seeding,78,seeds/m2,PLS,native,,,61,
361,213,known,5583,,seeding,17,seeds/m2,PLS,native,,,61,
362,213,known,5585,,seeding,48,seeds/m2,PLS,native,,,61,
363,213,known,5698,,seeding,6,seeds/m2,PLS,native,,,61,
364,213,known,5763,,seeding,40,seeds/m2,PLS,native,,,61,
365,213,known,5901,,seeding,101,seeds/m2,PLS,native,,,61,
366,213,known,5952,,seeding,30,seeds/m2,PLS,native,,,61,
367,214,known,387,,seeding,80,seeds/m2,PLS,native,,,62,
368,214,known,484,,seeding,58,seeds/m2,PLS,native,,,62,
369,214,known,1102,,seeding,5,seeds/m2,PLS,native,,,62,
370,214,known,1686,,seeding,13,seeds/m2,PLS,native,,,62,
371,214,known,1741,,seeding,9,seeds/m2,PLS,native,,,62,
372,214,known,2640,,seeding,10,seeds/m2,PLS,native,,,62,
373,214,known,2887,,seeding,11,seeds/m2,PLS,exotic,,,62,
374,214,known,5415,,seeding,59,seeds/m2,PLS,native,,,62,
375,214,known,5416,,seeding,136,seeds/m2,PLS,native,,,62,
376,214,known,5582,,seeding,78,seeds/m2,PLS,native,,,62,
377,214,known,5583,,seeding,17,seeds/m2,PLS,native,,,62,
378,214,known,5585,,seeding,48,seeds/m2,PLS,native,,,62,
379,214,known,5698,,seeding,6,seeds/m2,PLS,native,,,62,
380,214,known,5763,,seeding,40,seeds/m2,PLS,native,,,62,
381,214,known,5901,,seeding,101,seeds/m2,PLS,native,,,62,
382,214,known,5952,,seeding,30,seeds/m2,PLS,native,,,62,
383,215,known,387,,seeding,80,seeds/m2,PLS,native,,,63,
384,215,known,484,,seeding,58,seeds/m2,PLS,native,,,63,
385,215,known,1102,,seeding,5,seeds/m2,PLS,native,,,63,
386,215,known,1686,,seeding,13,seeds/m2,PLS,native,,,63,
387,215,known,1741,,seeding,9,seeds/m2,PLS,native,,,63,
388,215,known,2640,,seeding,10,seeds/m2,PLS,native,,,63,
389,215,known,2887,,seeding,11,seeds/m2,PLS,exotic,,,63,
390,215,known,5415,,seeding,59,seeds/m2,PLS,native,,,63,
391,215,known,5416,,seeding,136,seeds/m2,PLS,native,,,63,
392,215,known,5582,,seeding,78,seeds/m2,PLS,native,,,63,
393,215,known,5583,,seeding,17,seeds/m2,PLS,native,,,63,
394,215,known,5585,,seeding,48,seeds/m2,PLS,native,,,63,
395,215,known,5698,,seeding,6,seeds/m2,PLS,native,,,63,
396,215,known,5763,,seeding,40,seeds/m2,PLS,native,,,63,
397,215,known,5901,,seeding,101,seeds/m2,PLS,native,,,63,
398,215,known,5952,,seeding,30,seeds/m2,PLS,native,,,63,
399,216,known,387,,seeding,80,seeds/m2,PLS,native,,,64,
400,216,known,484,,seeding,58,seeds/m2,PLS,native,,,64,
401,216,known,1102,,seeding,5,seeds/m2,PLS,native,,,64,
402,216,known,1686,,seeding,13,seeds/m2,PLS,native,,,64,
403,216,known,1741,,seeding,9,seeds/m2,PLS,native,,,64,
404,216,known,2640,,seeding,10,seeds/m2,PLS,native,,,64,
405,216,known,2887,,seeding,11,seeds/m2,PLS,exotic,,,64,
406,216,known,5415,,seeding,59,seeds/m2,PLS,native,,,64,
407,216,known,5416,,seeding,136,seeds/m2,PLS,native,,,64,
408,216,known,5582,,seeding,78,seeds/m2,PLS,native,,,64,
409,216,known,5583,,seeding,17,seeds/m2,PLS,native,,,64,
410,216,known,5585,,seeding,48,seeds/m2,PLS,native,,,64,
